shop,address,count,shopid,shop+address
SOYU GAME FIELD古川店,宮城県大崎市古川沢田字筒場浦15番地 イオンタウン古川内,4,shop_id=10913,SOYU GAME FIELD古川店 宮城県大崎市古川沢田字筒場浦15番地 イオンタウン古川内
GiGO佐沼,宮城県登米市迫町佐沼字中江2-5-8 ,2,shop_id=5920,GiGO佐沼 宮城県登米市迫町佐沼字中江2-5-8 
プラサカプコン イオンタウン佐沼店,宮城県登米市南方町新島前46-1 イオンタウン佐沼1階,2,shop_id=2551,プラサカプコン イオンタウン佐沼店 宮城県登米市南方町新島前46-1 イオンタウン佐沼1階
GiGO石巻,宮城県石巻市大街道4丁目1番45号 ,2,shop_id=5923,GiGO石巻 宮城県石巻市大街道4丁目1番45号 
プラサカプコン石巻店,宮城県石巻市蛇田新金沼１７０ イオン石巻２階,4,shop_id=1930,プラサカプコン石巻店 宮城県石巻市蛇田新金沼１７０ イオン石巻２階
スーパーノバ仙台利府店,宮城県宮城郡利府町加瀬前谷地５５－１ 利府ベアガーデン,4,shop_id=5575,スーパーノバ仙台利府店 宮城県宮城郡利府町加瀬前谷地５５－１ 利府ベアガーデン
ユーズランド大河原店,宮城県柴田郡大河原町小島２－１ フォルテ２階,4,shop_id=5667,ユーズランド大河原店 宮城県柴田郡大河原町小島２－１ フォルテ２階
プラサカプコン大曲店,秋田県大仙市和合坪立１７７ イオン大曲２階,4,shop_id=1943,プラサカプコン大曲店 秋田県大仙市和合坪立１７７ イオン大曲２階
namcoイオンタウン大館西店,秋田県大館市根下戸新町１８－１２１ ロックショッピングタウン大館西,4,shop_id=1590,namcoイオンタウン大館西店 秋田県大館市根下戸新町１８－１２１ ロックショッピングタウン大館西
G3POROS横手南店,秋田県横手市婦気大堤字中田4-1 イオンスーパーセンター横手南店 2Fゲームコーナー,2,shop_id=9745,G3POROS横手南店 秋田県横手市婦気大堤字中田4-1 イオンスーパーセンター横手南店 2Fゲームコーナー
ゲームフィールド十文字店,秋田県横手市十文字町仁井田東22-1 スーパーモールラッキー,2,shop_id=401,ゲームフィールド十文字店 秋田県横手市十文字町仁井田東22-1 スーパーモールラッキー
GiGO秋田,秋田県秋田市茨島1丁目1-16 GiGO秋田,2,shop_id=1193,GiGO秋田 秋田県秋田市茨島1丁目1-16 GiGO秋田
SOYU Game Field 御所野店,秋田県秋田市御所野地蔵田１－１－１ イオンモール秋田２階,2,shop_id=2079,SOYU Game Field 御所野店 秋田県秋田市御所野地蔵田１－１－１ イオンモール秋田２階
ソユーゲームフィールド能代店,秋田県能代市鰄渕字古屋布1番 イオンタウン能代内 ,2,shop_id=11560,ソユーゲームフィールド能代店 秋田県能代市鰄渕字古屋布1番 イオンタウン能代内 
スーパーノバ天童店,山形県天童市南町１―５―２６ らら・パーク天童,4,shop_id=239,スーパーノバ天童店 山形県天童市南町１―５―２６ らら・パーク天童
GiGO北山形,山形県山形市北町1-3-20 GiGO北山形,2,shop_id=5595,GiGO北山形 山形県山形市北町1-3-20 GiGO北山形
パルケデアミーゴ,山形県山形市嶋北1-3-1 ,2,shop_id=10039,パルケデアミーゴ 山形県山形市嶋北1-3-1 
GiGO米沢,山形県米沢市大字花沢字タナコ原177 GiGO米沢,2,shop_id=5594,GiGO米沢 山形県米沢市大字花沢字タナコ原177 GiGO米沢
アピナ鶴岡店,山形県鶴岡市文下字広野１－１ アピナ鶴岡,2,shop_id=5793,アピナ鶴岡店 山形県鶴岡市文下字広野１－１ アピナ鶴岡
GiGO庄内,山形県東田川郡三川町猪子大堰端326-6 AGスクエア庄内,2,shop_id=179,GiGO庄内 山形県東田川郡三川町猪子大堰端326-6 AGスクエア庄内
SOYU Game Field三川店,山形県東田川郡三川町猪子和田庫１２８－１ イオンモール三川１階,2,shop_id=5927,SOYU Game Field三川店 山形県東田川郡三川町猪子和田庫１２８－１ イオンモール三川１階
GiGO小名浜,福島県いわき市小名浜林城字塚前18-1 GiGO小名浜,4,shop_id=8097,GiGO小名浜 福島県いわき市小名浜林城字塚前18-1 GiGO小名浜
ドリームファクトリーいわき店,福島県いわき市中央台飯野4-1 MEGAドン・キホーテラパークいわき,2,shop_id=1344,ドリームファクトリーいわき店 福島県いわき市中央台飯野4-1 MEGAドン・キホーテラパークいわき
モーリーファンタジーいわき店,福島県いわき市平字三倉６８－１ イオンいわき３階,2,shop_id=2135,モーリーファンタジーいわき店 福島県いわき市平字三倉６８－１ イオンいわき３階
