mise,basyo
セガ西那須野,栃木県那須塩原市南郷屋2-106-27
セガ今市,栃木県日光市芹沼1448-1
ナムコプラボ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町７−３
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６−５−１
大田原スポーツランド,栃木県那須塩原市一区町１０４−６０
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２−１
ドラマ足利店,栃木県足利市朝倉町244-1
namcoフェドラP&D佐野店,栃木県佐野市高萩町１３４０
アピナ小山店,栃木県小山市駅南町４−２７−１８
タイトーＦステーション小山店,栃木県小山市喜沢1475ハーヴェストウォーク内スポーツシネマ棟
TFSトナリエ宇都宮,栃木県宇都宮市駅前通り１丁目４番６号トナリエ宇都宮
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8宇都宮フェスタ1F
タイトーＦステーションVAL小山,栃木県小山市城山町３丁目３番地２２号小山駅ビル３Ｆ
セガワールド太田,群馬県太田市西矢島町575-1
セガワールド沼田,群馬県沼田市下久屋町1100-1
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1
ゲームシティボストン,群馬県前橋市大友町3-7-3
マトリクス前橋,群馬県前橋市小相木町５５８−１
アピナ太田店,群馬県太田市内ケ島町９０７−１
インターワールド伊勢崎店,群馬県伊勢崎市宮子町3425-4
セガワールド館林,群馬県館林市小桑原町949-1
ユーズランド太田店,群馬県太田市石原町８１番地イオンモール太田２Ｆ
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１高崎ＥＸビル
群馬レジャーランド太田店,群馬県太田市西矢島町162-2
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ
ｎａｍｃｏけやきウォーク前橋,群馬県前橋市文京町２−１−１けやきウォーク前橋2F
群馬レジャーランド渋川店,群馬県渋川市八木原1364
ラウンドワン前橋店,群馬県前橋市天川大島町１１０１−１
セガスマーク伊勢崎,群馬県伊勢崎市小保方町３６８番地スマーク伊勢崎３Ｆ北−３０２
セガ所沢,埼玉県所沢市日吉町8-1
セガ入間,埼玉県入間市東藤沢2-18
セガ川口,埼玉県川口市東領家2-2-10
セガワールド籠原,埼玉県熊谷市美土里町1-169
楽市楽座イオンモール川口前川店,埼玉県川口市前川1-1-11イオンモール川口前川店3F
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際163-1
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1
アドアーズ春日部,埼玉県春日部市中央１−８−１５　春日部セントラル１～２階
ラウンドワン大宮店,埼玉県さいたま市大宮区宮町４−９０−７
ラウンドワンわらび店,埼玉県蕨市北町５−１−６
ウェアハウス上尾店,埼玉県上尾市二ツ宮１０４４
ウェアハウス越谷店,埼玉県越谷市南荻島８４１−１
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7
ゲームファクトリーマグマ草加店,埼玉県草加市氷川町2125-1
ゲームシティ川口店,埼玉県川口市栄町1-10-5
ウェアハウス岩槻店,埼玉県さいたま市岩槻区加倉３−３−６３
嵐山ドライブイン,埼玉県比企郡嵐山町大字志賀1822
ｎａｍｃｏ熊谷店,埼玉県熊谷市銀座2-97CARPA1階
キャッツアイ狭山店,埼玉県狭山市入間川３１４１
セガ花園,埼玉県深谷市荒川359
ＳＯＹＵＧａｍｅＦｅｉｌｄ熊谷,埼玉県熊谷市銀座2-245ﾆｯﾄﾓｰﾙ4F
セガ与野,埼玉県さいたま市中央区本町西5-2-9イオンモール与野3F
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200
ラウンドワン朝霞店,埼玉県朝霞市膝折町２−１６−１０
THE 3RD PLANET フレスポ八潮店,埼玉県八潮市大瀬1-1-3 フレスポ八潮3F
ラウンドワン上尾店,埼玉県上尾市大字平塚９１７−１
ウェアハウス草加店別館,埼玉県草加市稲荷２−３６−３３
ラウンドワンさいたま・栗橋店,埼玉県久喜市小右衛門１９２−１
ラウンドワン入間店,埼玉県入間市小谷田３−７−２５
プラサカプコン羽生店,埼玉県羽生市川崎２−２８１−３イオンモール羽生２階
ウェアハウス三橋店,埼玉県さいたま市西区三橋６−９５５−１
ラウンドワン草加店,埼玉県草加市谷塚上町２０４番１
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F
プレイランド菖蒲店,埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ
ベネクス越谷店,埼玉県越谷市南荻島２７７０−１
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町大字金久保３９４−１
タイトーステーション 所沢店,埼玉県所沢市日吉町３−７
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３−７
ソユーゲームフィールド川口店,埼玉県川口市並木元町１−７９　アリオ川口３Ｆ
Ｓｐｉｃａ大宮南銀店,埼玉県さいたま市大宮区仲町1-57
ユーズランド春日部店,埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　Ｐ・Ａ・Ｐ・Ａ上尾ＳＣ別棟
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１−１
埼玉レジャーランド川越店,埼玉県川越市新富町１−１７−４
タイトーＦステーションダイエー大宮店,埼玉県さいたま市大宮区桜木町２丁目３番地
アピナ大宮店,埼玉県さいたま市大宮区仲町１−１９
アミュージアム川口店,埼玉県川口市本町２−７−２５ミエルかわぐち３Ｆ
タイトーＦステーションクレアモール川越店,埼玉県川越市新富町２−１−１３
ハイテクセガ柏,千葉県柏市柏1-1-11丸井デパート内B1F
セガ千葉,千葉県千葉市中央区富士見2-4-1
セガ我孫子,千葉県我孫子市柴崎字天王谷47-1
セガワールド成田,千葉県成田市東町157-5
セガ旭,千葉県旭市二字野場3150-1
宝島新浦安店,千葉県浦安市入船１−４−１イオン新浦安店４Ｆ
ラッキー中央店・フェリシダ,千葉県千葉市中央区富士見2-8-1
千葉レジャーランド成東店,千葉県山武市姫島111-1
千葉レジャーランド野田店,千葉県野田市吉春776-1
ウェアハウス南流山店,千葉県流山市南流山４−１６−６
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15
プラサカプコン成田店,千葉県成田市ウイング土屋２４イオン成田ＳＣ２Ｆ
ラウンドワン八千代村上店,千葉県八千代市村上南１丁目５番地５４
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59
千葉レジャーランド稲毛店,千葉県千葉市稲毛区小仲台2-5-7海宝ビル2F
ゲームソニックビーム松戸,千葉県松戸市松戸1172-1
ラッキー西千葉店,千葉県千葉市稲毛区弥生町1-15
アミュージアム茂原店,千葉県茂原市高師１６１９−１
セガ幕張,千葉県千葉市美浜区ひび野1-8メッセ・アミューズ・モール１Ｆ
イスカンダル木更津店,千葉県木更津市潮見４−１−２
パレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛Ａ２棟４
セガ松戸,千葉県松戸市日暮1-1-1八柱駅第2ﾋﾞﾙ2F
セガアリーナ蘇我,千葉県千葉市中央区川崎町51-1ハーバーシティ蘇我FW AM棟1F
ラッキー佐倉店,千葉県佐倉市井野1475
佐原ミナミボウル,千葉県香取市佐原イ-4200
ｎａｍｃｏ流山おおたかの森Ｓ・Ｃ店,千葉県流山市おおたかの森南１−５−１おおたかの森Ｓ・Ｃ３Ｆ
ゲームセンターアルファー,千葉県柏市柏１−１−１１丸井ビルＢ１Ｆ
タイトーFステーション柏中央,千葉県柏市十余二２４９−５
タイトーステーション 船橋店,千葉県船橋市本町１−６−１
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697番地
キャッツアイ八千代店,千葉県八千代市吉橋１８５１　ｉｓｍ緑ヶ丘内
クラブセガ稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1
ラウンドワン市原店,千葉県市原市八幡北町３−５−１
ラウンドワン習志野店,千葉県習志野市芝園１−４−５
ラウンドワン市川鬼高店,千葉県市川市鬼高４−１−３
ソユープレイランドソピア幕張店,千葉県千葉市花見川区幕張町4-417-25イトーヨーカドー幕張店2F
セガイオンモール銚子,千葉県銚子市三崎町2-2660-1イオンモール銚子2F
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18
ｎａｍｃｏイオンモール幕張新都心店,千葉県千葉市美浜区豊砂１−１ｲｵﾝｸﾞﾗﾝﾄﾞﾓｰﾙ３F
タイトーＦステーション市川妙典店,千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F
アドアーズ船橋,千葉県船橋市本町１−３１−２６セブン船橋Ｂ１Ｆ～３Ｆ
ソユーゲームフィールド木更津店,千葉県木更津市築地１−４イオンモール木更津２F
セガららぽーとTOKYO−BAY,千葉県船橋市浜町2-1-1北館1F
スーパービバホーム新習志野店２階,千葉県習志野市茜浜１−１−２　スーパービバホーム２Ｆ
ラウンドワンアリオ柏店,千葉県柏市大島田１丁目６番地１セブンパークアリオ柏　１０７０
ゲームランド津田沼店,千葉県習志野市津田沼１−２３−１イオンモール津田沼２Ｆ
キッズパークボンベルタ成田店,千葉県成田市赤坂２−１−１０　ボンベルタ成田３Ｆ
タイトーＦステーション新松戸店,千葉県松戸市新松戸３−２−２イオンフードスタイル新松戸店４階
アピナ印西店,千葉県印西市原１−２ビッグホップガーデンモール印西２Ｆ
アピナ市原店,千葉県市原市更級４丁目２番１号アクロスプラザ市原更級Ｆ棟１階
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル
ＧａｍｅＦｉｅｌｄ千城台店,千葉県千葉市若葉区千城台北３丁目２１−１イコアス千城台３Ｆ
セガ池袋ＧｉＧＯ,東京都豊島区東池袋1-21-1
セガ秋葉原１号館,東京都千代田区外神田1-10-9
ハイテクランドセガ渋谷,東京都渋谷区渋谷１−１４−１４ＥＳＴ１階・７階
クラブセガ新宿西口,東京都新宿区西新宿1-12-5
新宿スポーツランド本館,東京都新宿区新宿3-22-12
ハイテクセガ葛西,東京都江戸川区西葛西5-1-14第一保志ビル
セガ船堀,東京都江戸川区船堀1-6-11
セガ神楽坂,東京都新宿区神楽坂2-11第2カグラヒルズ1F
セガワールド大森,東京都大田区山王2-1-5大森駅ララビル2F
クラブセガ立川,東京都立川市柴崎町3-2-1グランデュオビル1.2F
クラブセガ自由が丘,東京都目黒区自由が丘2-10-9
セガワールド福生,東京都福生市福生1076-1
ハイテクランドセガ立石,東京都葛飾区立石7-2-1
ハイテクランドセガ池上,東京都大田区池上6-2-3松山ビル2Ｆ
ｎａｍｃｏ巣鴨店,東京都豊島区巣鴨１−１５−１宮田ビルB2F
アミューズランドモナコ調布駅前店,東京都調布市布田４−２−２２
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラル
アドアーズ渋谷,東京都渋谷区宇田川町１３−１１　ＫＮ渋谷１ビル
アドアーズ中野,東京都中野区中野５−５２−１５　ブロードウェイ１８５
シルクハット　蒲田西口,東京都大田区西蒲田７−２−３　第二醍醐ビル地下１階～２階
プラサカプコン吉祥寺店,東京都武蔵野市吉祥寺本町1-10-1いなりやビルB1F
ラウンドワン南砂店,東京都江東区南砂６−７−１５トピレックプラザ４Ｆ
タイトー新宿南口ゲームワールド店,東京都新宿区新宿３−３５−８
タイトーＢＩＧＢＯＸ高田馬場店,東京都新宿区高田馬場１−３５−３　ＢＩＧＢＯＸ６Ｆ
タイトーステーション国分寺店,東京都国分寺市本町３−５−１１
ウェアハウス入谷店,東京都足立区入谷７−８−１１
ウェアハウス保木間店,東京都足立区保木間１−１−１９
ゲームシティ板橋店,東京都板橋区小茂根１−３２−９
ゲームスタジオキューブ高円寺店,東京都杉並区高円寺南4-26-12-B1
アミュージアムＯＳＣ店,東京都練馬区東大泉２−３４−１オズスタジオシティ２Ｆ
ミラクルイン中村橋,東京都練馬区貫井１−１−２ＹＫビル２Ｆ
ハイテクランドキューデン,東京都足立区西新井栄町2-7-2
アドアーズ立川,東京都立川市柴崎町3-4-3TE柴崎ビルB1～3F
アドアーズ八王子,東京都八王子市東町１１−３　センチュリーＳＴビル
タイトーステーション 町田店,東京都町田市原町田６−２１−２３　松山ビル１階
東京レジャーランド秋葉原店,東京都千代田区外神田1-9-5
タイトーステーション 秋葉原店,東京都千代田区外神田４−２−２貴三ビル
ラウンドワン町田店,東京都町田市森野１−１３−１４
セガワールド府中,東京都府中市西原町1-6-2フレスポ府中1F・2F
ドラマ八王子高倉店,東京都八王子市高倉町55-4
ドットコム葛西,東京都江戸川区中葛西３−３５−５
アムネット小岩店,東京都江戸川区南小岩６−３１−３石井ビル１Ｆ
セガワールド葛西,東京都江戸川区東葛西9-3-3イトーヨーカドー3F
アミュージアム昭島店,東京都昭島市田中町５７３−１−２
タイトーＦステーションオリナス錦糸町店,東京都墨田区太平4-1-2オリナスモール地下1F
ラウンドワン板橋店,東京都板橋区相生町１６−１３
ｎａｍｃｏ王子サンスクエア店,東京都北区王子１−４−１サンスクエア２階
セガイオンモールむさし村山,東京都武蔵村山市榎1-1-3-2059
アピナ八王子みなみ野店,東京都八王子市みなみ野１−２−１アクロスモール３Ｆ
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵382-1
東京レジャーランド秋葉原2号店,東京都千代田区外神田4-3-3ミナミビル6F・7F
アドアーズ上野アメ横,東京都台東区上野４−９−１４上野Ｋ．ＫビルＢ１～４階
タイトーＦステーション西葛西,東京都江戸川区西葛西６−６−１０
ラウンドワン武蔵村山店,東京都武蔵村山市伊奈平３−１−１
セガ秋葉原３号館,東京都千代田区外神田１−１１−１１外神田１丁目ビルディング
セガ秋葉原4号館,東京都千代田区外神田1-15-9
セガ赤羽,東京都北区赤羽1-7-9赤羽第一葉山ビルB1
ラウンドワン府中本町駅前,東京都府中市本町１−１３−３カネタビル
アピナＳ武蔵小山店,東京都品川区小山３−２３−３ＳＤビルＢ１Ｆ
SOYU ZAURUS WORLD 大森店　,東京都大田区大森北2-13-1イトーヨーカドー大森店3F
ソユープレイランドソピア八王子店,東京都八王子市狭間町1462-1イトーヨーカドー八王子店3F
ソユープレイランドソピア南大沢店,東京都八王子市南大沢2-28-1イトーヨーカドー南大沢店3F
セガ東京ドームシティ,東京都文京区後楽1-3-61
ラウンドワンダイバーシティ東京プラザ店,東京都江東区青海1-1-10ダイバーシティ東京プラザ6階61000
ザ・サードプラネット多摩センター店,東京都多摩市落合１−４１−１マグレブウェスト１階・２階
ラウンドワン池袋店,東京都豊島区東池袋１−１４−１
セガ竹の塚,東京都足立区竹の塚6-8-6 ピーくんPlaza-B
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2
タイトーステーション 池袋西口店,東京都豊島区西池袋１−１５−９第一西池ビル
タイトーステーション立川北口店,東京都立川市曙町２−４−５クリサス立川２・３Ｆ
ラウンドワン吉祥寺店,東京都武蔵野市吉祥寺本町1-11-22
タイトーＦステーション南大沢店,東京都八王子市南大沢２−３ｆａｂ南大沢２Ｆ
セガ町田,東京都町田市原町田6-13-17アーバンミサワビルB1
セガ赤羽駅前,東京都北区赤羽１−２−４
アピナ荻窪店,東京都杉並区上荻１−１３−１０ハクサンビル
セガ南町田ＧＢＰシアター,東京都町田市鶴間３−４−１ワンダーシアター１階Ｈ１０３区画
ウェアハウス一橋学園店,東京都小平市学園東町一丁目４番３９号平山ビル３Ｆ
セガ有明ガーデン,東京都江東区有明２−１−８有明ガーデン５Ｆ５０１区画
ゲームセンターＷＩＬＬ　ＷＧＣ,東京都立川市羽衣町２−４−１３羽衣長田ビル１０１ＷＧＣ
パームトップス,神奈川県厚木市中町4-15-9
アミューズメントランドYAZ平塚店,神奈川県平塚市田村1-4-26
アミューズメントパークジアス上大岡,神奈川県横浜市港南区上大岡西2-1-28
クラブセガ相模大野,神奈川県相模原市南区相模大野3-13-2 東和ビル2F・3F
シルクハット川崎モアーズ,神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ１・２階
テクモピア向ヶ丘遊園店,神奈川県川崎市多摩区登戸2755ミノワホームズ1F
ラウンドワン高津店,神奈川県川崎市高津区二子４−８−１
タイトーステーション溝の口,神奈川県川崎市高津区溝口１−１１−８ＯＫＫＡ６３４ビル３階
プラサカプコン横須賀店,神奈川県横須賀市若松町2-30モアーズシティ4F
タイトーステーション 小田原店,神奈川県小田原市栄町１−３−１２
ラウンドワン横浜綱島店,神奈川県横浜市港北区樽町２−６−４０Ｔ-PLATZ内
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸２−８−１６
クラブセガ綱島,神奈川県横浜市港北区綱島西2-6-29
神奈川レジャーランド厚木店,神奈川県厚木市戸室5-31-1
シルクハット　川崎ダイス,神奈川県川崎市川崎区駅前本町８番地ダイスビル地下２階
クラブセガ新杉田,神奈川県横浜市磯子区杉田1-1-1らびすた新杉田2F
ラウンドワン川崎大師店,神奈川県川崎市川崎区殿町１−５−１
ドラマ藤沢店,神奈川県藤沢市本藤沢5-6-8
タイトーステーション海老名ビナウォーク店,神奈川県海老名市中央１−１８−１　ビナウォーク６番館２Ｆ
ドラマ港北インター店,神奈川県横浜市都筑区東方町321-6
THE 3RD PLANET 横浜本店,神奈川県横浜市都筑区中川中央1-25-1 NPモール6F
アドアーズ藤沢北口,神奈川県藤沢市藤沢４６０−１　３～４Ｆ
プレイランド大和鶴間,神奈川県大和市下鶴間１−３−１イトーヨーカドー大和鶴間店３Ｆ
タイトーステーション 横浜西口五番街店,神奈川県横浜市西区南幸１−１２－９
プレビ　アリオ橋本店,神奈川県相模原市緑区大山町１−２２アリオ橋本店内２階
プレイランド川崎,神奈川県川崎市川崎区小田栄2-2-1-3F
ＳＯＹＵ　GAME　FIELD湘南店,神奈川県藤沢市辻堂新町4-1-1湘南モールＦＩＬＬ2F
セガ小田原ダイナシティ,神奈川県小田原市中里296-1 ダイナシティイーストモール3F
セガイト—ヨーカドー古淵,神奈川県相模原市南区古淵3-13-33 イトーヨーカドー3F
イミグランデ溝口店,神奈川県川崎市高津区溝口１−１４−７　第二カスタムビル
セガ横浜中華街,神奈川県横浜市中区山下町80-1
アピナ橋本店,神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階
イミグランデ日吉店３,神奈川県横浜市港北区日吉2−2−4
ラウンドワンららぽーと湘南平塚店,神奈川県平塚市天沼１０−１３階 ３３２８０番
セガ海老名,神奈川県海老名市中央一丁目４番３１号海老名プラザビル１階
セガセンター南,神奈川県横浜市都筑区茅ヶ崎中央３−２５
タイトーFステーション向ヶ丘遊園店,神奈川県川崎市多摩区登戸2718-1
ソユーゲームフィールド上大岡店,神奈川県横浜市港南区上大岡西１−１８−３　ミオカリスト館６階
カプコサーカス新潟東店,新潟県新潟市東区大形本町３−１−２　ジャスコシティ新潟東
スターフィールド,新潟県長岡市新組町2003番地1
上越レジャーランボウル,新潟県上越市下門前薬島827-2
メジャーロード24,新潟県見附市今町4-20-568-1
