mise,basyo
ソユーゲームフィールド青森店,青森県青森市浜田1-14-1イトーヨーカドー青森店2F
ラウンドワン青森店,青森県青森市浜田３−１−１
ソユーゲームフィールド八戸店,青森県八戸市沼館4-7-112八戸ピアドゥＢ棟2F
セガ八戸,青森県八戸市城下4-25-14
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1
セガ水沢,岩手県奥州市水沢区佐倉河字鎧田4-1
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８−６　銀河モール１Ｆ
ソユーゲームフィールド釜石店,岩手県釜石市港町２−１−１イオンタウン釜石店３F
アミューズメントスペースBAGIBAGI,岩手県宮古市新川町3-17
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２−１０−３５
サンシャイン,岩手県盛岡市大通２ー７ー２１ジュリアンビル１階
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1ｲｵﾝﾓｰﾙ盛岡南1F
アミューズメントゾーン北上店,岩手県北上市本通2-2-1さくら野北上店4F
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５−１
プラサカプコン石巻店,宮城県石巻市茜平4丁目104番地 ｲｵﾝ石巻ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2F
セガワールド石巻,宮城県石巻市大街道東4-1-45
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１−７−１０
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前1番53-1
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
仙台レジャーランド一番町店,宮城県仙台市青葉区一番町4-3-27ガリレア一番町ビル1Ｆ〜3Ｆ
タイトーステーション 仙台名掛丁店,宮城県仙台市青葉区中央１−７−１３
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５
セガ仙台,宮城県仙台市青葉区中央２−５−５
プレイランドエフワンＲ,宮城県仙台市青葉区中央２−６−６タベイビルＢ１Ｆ
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ
ゲームフィールド仙台長町店,宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階
ＳＯＹＵ　ＧＡＭＥ　ＦＩＥＬＤ古川店,宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内
セガ名取セッツウイングス,宮城県名取市飯野坂字土城堀57-1
セガワールド佐沼,宮城県登米市迫町佐沼字中江2-5-8
ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内
セガ秋田,秋田県秋田市茨島1-1-16
ラウンドワン秋田店,秋田県秋田市卸町１−１−２
SOYUGameField御所野店,秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F
ｎａｍｃｏイオンタウン大館西店,秋田県大館市根下戸新町18-121イオンタウン大館西内
プレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70いとくアクロス能代店内
ゲームフィールド鷹巣店,秋田県北秋田市栄字前綱76　いとく鷹巣SC内
リスチャイルド本荘店,秋田県由利本荘市石脇字田中138SC本荘店内
スタジオプリモ山形店,山形県山形市城南町１−１−１　霞城セントラル２Ｆ
セガワールド北山形,山形県山形市北町1-3-20
トレジャーサバイバル,山形県山形市北町２－２－４５
トレジャー新庄店,山形県新庄市金沢沖１０６８
アピナ鶴岡店,山形県鶴岡市文下字広野１−１
スーパーノバ天童,山形県天童市南町1-5-26
ソユーゲームフィールド天童店,山形県天童市芳賀タウン北４−１−１ イオンモール天童２Ｆ
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８−１イオン三川１Ｆ
セガ庄内,山形県東田川郡三川町猪字大堰端３２６番地６
セガ米沢,山形県米沢市大字花沢字タナコ原177
ソユーゲームフィールド小名浜店,福島県いわき市小名浜字辰巳町７９イオンモールいわき小名浜３Ｆ
嶺宝スポーツセンター,福島県いわき市小名浜住吉折返２−２
セガ小名浜,福島県いわき市小名浜林城字塚前18-1
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５−１
ラウンドワン郡山店,福島県郡山市向河原町４−５５
タイトーアミューズメントシティ郡山,福島県郡山市南2-38　フレスポ郡山内
セガ日和田,福島県郡山市日和田町字西中島7-1
ＳＯＹＵ　Ｅ−ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内
セガワールド白河,福島県白河市新高山1-1 メガステージ白河内
THE 3RD PLANET ピボット福島店,福島県福島市栄町1-1 パワーシティーピボット内
スーパーノバ福島,福島県福島市黒岩字中島7-2
ラウンドワン福島店,福島県福島市太田町14-18
セガワールド福島,福島県福島市本内中井1-2
セガワールド勿来,福島県いわき市勿来町四沢字鍵田13
ピンクパンサーつくばみらい店,茨城県つくばみらい市陽光台1-14-1
namco iiasつくば店,茨城県つくば市研究学園5-19　iiasつくば店2F2190
ＡＭジャムジャムつくば店,茨城県つくば市竹園１—９−２デイズタウンつくば地下１Ｆ
アミューズビバ,茨城県ひたちなか市東大島２−１１−１１
セガ霞ヶ浦,茨城県稲敷市西代1473-1
ピンクパンサー下妻店,茨城県下妻市小島884-10
ＧＡＭＥ ＰＡＤＤＯＣＫ＋１,茨城県古河市小堤１９１６−１
ＦＥＳＴＡ古河店,茨城県古河市松並２−１８−１０マーケットシティ古河
ＳＯＹＵ　ＴＯＹ’Ｓ　ＮＹ　守谷店,茨城県守谷市百合ヶ丘3-249-1　イオンタウン守谷2Ｆ
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1
スタジオプリモ水戸店,茨城県水戸市宮町１−２−４マイム１F
セガ水戸,茨城県水戸市宮町1-7-44コムボックス310
セガ水戸南,茨城県水戸市千波町２０１７−１
ユーズランド水戸内原店,茨城県水戸市内原２−１イオンモール水戸内原２Ｆ
セガ石岡,茨城県石岡市東大橋中峯1976-1
アピナ下館店,茨城県筑西市玉戸１０１２−３
フリスポ,茨城県筑西市神分472
楽市楽座イオンモール土浦店,茨城県土浦市上高津３６７イオンモール土浦ＳＣ３階
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内
ピンクパンサー土浦店,茨城県土浦市木田余４５８５−３
ピンクパンサー那珂店,茨城県那珂市菅谷1593-8
セガワールド日立,茨城県日立市田尻町3-26-1
ピンクパンサー日立店,茨城県日立市東多賀町5-10-10
セガ龍ケ崎,茨城県龍ケ崎市藤ケ丘4-2-8
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６−５−１
TFSトナリエ宇都宮,栃木県宇都宮市駅前通り１丁目４番６号トナリエ宇都宮
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8宇都宮フェスタ1F
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２−１
セガワールド宇都宮,栃木県宇都宮市東宿郷5-1-7
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町７−３
ナムコプラボ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル
アピナ小山店,栃木県小山市駅南町４−２７−１８
タイトーＦステーション小山店,栃木県小山市喜沢1475ハーヴェストウォーク内スポーツシネマ棟
タイトーＦステーションVAL小山,栃木県小山市城山町３丁目３番地２２号小山駅ビル３Ｆ
セガ小山,栃木県小山市東城南1-1-18
ドラマ足利店,栃木県足利市朝倉町244-1
ｎａｍｃｏイオン栃木店,栃木県栃木市箱森町３７−９イオン栃木内２階
ラウンドワン栃木・樋ノ口店,栃木県栃木市樋ノ口町５５−１
大田原スポーツランド,栃木県那須塩原市一区町１０４−６０
セガ西那須野,栃木県那須塩原市南郷屋2-106-27
セガ今市,栃木県日光市芹沼1448-1
インターワールド伊勢崎店,群馬県伊勢崎市宮子町3425-4
セガスマーク伊勢崎,群馬県伊勢崎市小保方町３６８番地スマーク伊勢崎３Ｆ北−３０２
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1
セガワールド館林,群馬県館林市小桑原町949-1
THE 3RD PLANET 高崎店,群馬県高崎市下和田町5-3-8 メディアメガ高崎内
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１高崎ＥＸビル
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ
群馬レジャーランド渋川店,群馬県渋川市八木原1364
セガワールド沼田,群馬県沼田市下久屋町1100-1
ゲームシティボストン,群馬県前橋市大友町3-7-3
ラウンドワン前橋店,群馬県前橋市天川大島町１１０１−１
ｎａｍｃｏけやきウォーク前橋,群馬県前橋市文京町２−１−１けやきウォーク前橋2F
群馬レジャーランド太田店,群馬県太田市西矢島町162-2
セガワールド太田,群馬県太田市西矢島町575-1
ユーズランド太田店,群馬県太田市石原町８１番地イオンモール太田２Ｆ
アピナ太田店,群馬県太田市内ケ島町９０７−１
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7
ウェアハウス岩槻店,埼玉県さいたま市岩槻区加倉３−３−６３
ウェアハウス三橋店,埼玉県さいたま市西区三橋６−９５５−１
ラウンドワン大宮店,埼玉県さいたま市大宮区宮町４−９０−７
タイトーＦステーションダイエー大宮店,埼玉県さいたま市大宮区桜木町２丁目３番地
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１−１
アピナ大宮店,埼玉県さいたま市大宮区仲町１−１９
Ｓｐｉｃａ大宮南銀店,埼玉県さいたま市大宮区仲町1-57
セガ与野,埼玉県さいたま市中央区本町西5-2-9イオンモール与野3F
プラサカプコン羽生店,埼玉県羽生市川崎２−２８１−３イオンモール羽生２階
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F
テクモピア南越谷店,埼玉県越谷市南越ケ谷1-15-1ラクーン南越谷2階
ベネクス越谷店,埼玉県越谷市南荻島２７７０−１
ウェアハウス越谷店,埼玉県越谷市南荻島８４１−１
ラウンドワンさいたま・栗橋店,埼玉県久喜市小右衛門１９２−１
プレイランド菖蒲店,埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ
キャッツアイ狭山店,埼玉県狭山市入間川３１４１
ＳＯＹＵＧａｍｅＦｅｉｌｄ熊谷,埼玉県熊谷市銀座2-245ﾆｯﾄﾓｰﾙ4F
ｎａｍｃｏ熊谷店,埼玉県熊谷市銀座2-97CARPA1階
セガワールド籠原,埼玉県熊谷市美土里町1-169
ギガステーション戸田店,埼玉県戸田市大字美女木943-7
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３−７
キャロム坂戸店,埼玉県坂戸市関間2-151-1
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町大字金久保３９４−１
ユーズランド春日部店,埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際163-1
アドアーズ春日部,埼玉県春日部市中央１−８−１５　春日部セントラル１〜２階
タイトーステーション 所沢店,埼玉県所沢市日吉町３−７
セガ所沢,埼玉県所沢市日吉町8-1
ラウンドワン上尾店,埼玉県上尾市大字平塚９１７−１
ウェアハウス上尾店,埼玉県上尾市二ツ宮１０４４
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　Ｐ・Ａ・Ｐ・Ａ上尾ＳＣ別棟
セガ花園,埼玉県深谷市荒川359
埼玉レジャーランド川越店,埼玉県川越市新富町１−１７−４
タイトーＦステーションクレアモール川越店,埼玉県川越市新富町２−１−１３
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1
ベネクス川越店,埼玉県川越市大仙波340-1
ゲームシティ川口店,埼玉県川口市栄町1-10-5
シルクハット　川口,埼玉県川口市栄町３−１−１６イート川口ビル４Ｆ
ＨＯＵＳＴＯＮ西川口店,埼玉県川口市西川口1-6-3西川口ビル1F
楽市楽座イオンモール川口前川店,埼玉県川口市前川1-1-11イオンモール川口前川店3F
セガ川口,埼玉県川口市東領家2-2-10
ソユーゲームフィールド川口店,埼玉県川口市並木元町１−７９　アリオ川口３Ｆ
アミュージアム川口店,埼玉県川口市本町２－７－２５ ミエルかわぐち３Ｆ
ウェアハウス草加店別館,埼玉県草加市稲荷２−３６−３３
ラウンドワン草加店,埼玉県草加市谷塚上町２０４番１
ゲームファクトリーマグマ草加店,埼玉県草加市氷川町2125-1
ラウンドワン朝霞店,埼玉県朝霞市膝折町２−１６−１０
ラウンドワン入間店,埼玉県入間市小谷田３−７−２５
セガ入間,埼玉県入間市東藤沢2-18
嵐山ドライブイン,埼玉県比企郡嵐山町大字志賀1822
ビッグボウル杉戸,埼玉県北葛飾郡杉戸町大字杉戸２３３８
ラウンドワンわらび店,埼玉県蕨市北町５−１−６
セガ旭,千葉県旭市二字野場3150-1
アピナ印西店,千葉県印西市原１−２ビッグホップガーデンモール印西２Ｆ
宝島新浦安店,千葉県浦安市入船１−４−１イオン新浦安店４Ｆ
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15
佐原ミナミボウル,千葉県香取市佐原イ-4200
ラッキー佐倉店,千葉県佐倉市井野1475
千葉レジャーランド成東店,千葉県山武市姫島111-1
アピナ市原店,千葉県市原市更級４丁目２番１号アクロスプラザ市原更級Ｆ棟１階
ラウンドワン市原店,千葉県市原市八幡北町３−５−１
ラウンドワン市川鬼高店,千葉県市川市鬼高４−１−３
タイトーＦステーション市川妙典店,千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F
スーパービバホーム新習志野店２階,千葉県習志野市茜浜１−１−２　スーパービバホーム２Ｆ
ラウンドワン習志野店,千葉県習志野市芝園１−４−５
MorisiaAmusePark,千葉県習志野市谷津1-16-1モリシア津田沼2F
シルクハット　津田沼,千葉県習志野市津田沼１−２−１十三ビル地下１階
ゲームランド津田沼店,千葉県習志野市津田沼１−２３−１イオンモール津田沼２Ｆ
ゲームソニックビーム松戸,千葉県松戸市松戸1172-1
ｎａｍｃｏ松戸店,千葉県松戸市松戸１２３０−１ピアザ松戸１Ｆ
セガ松戸,千葉県松戸市日暮1-1-1八柱駅第2ﾋﾞﾙ2F
プラサカプコン成田店,千葉県成田市ウイング土屋２４イオン成田ＳＣ２Ｆ
セガワールド成田,千葉県成田市東町157-5
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18
クラブセガ稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1
千葉レジャーランド稲毛店,千葉県千葉市稲毛区小仲台2-5-7海宝ビル2F
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697番地
パレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛Ａ２棟４
ラッキー西千葉店,千葉県千葉市稲毛区弥生町1-15
ソユープレイランドソピア　幕張店,千葉県千葉市花見川区幕張町４－４１７－２５ イトーヨーカドー幕張店２Ｆ
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59
セガ千葉,千葉県千葉市中央区富士見2-4-1
ラッキー中央店・フェリシダ,千葉県千葉市中央区富士見2-8-1
セガ幕張,千葉県千葉市美浜区ひび野1-8メッセ・アミューズ・モール１Ｆ
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル
セガららぽーとTOKYO−BAY,千葉県船橋市浜町2-1-1北館1F
アドアーズ船橋,千葉県船橋市本町１−３１−２６セブン船橋Ｂ１Ｆ〜３Ｆ
タイトーステーション 船橋店,千葉県船橋市本町１−６−１
セガイオンモール銚子,千葉県銚子市三崎町2-2660-1イオンモール銚子2F
タイトーFステーション柏中央,千葉県柏市十余二２４９−５
ラウンドワンアリオ柏店,千葉県柏市大島田１丁目６番地１セブンパークアリオ柏　１０７０
ハイテクセガ柏,千葉県柏市柏1-1-11丸井デパート内B1F
ゲームセンターアルファー,千葉県柏市柏１−１−１１丸井ビルＢ１Ｆ
キャッツアイ八千代店,千葉県八千代市吉橋１８５１　ｉｓｍ緑ヶ丘内
ラウンドワン八千代村上店,千葉県八千代市村上南１丁目５番地５４
ラッキーバッティングドーム八千代店,千葉県八千代市大和田新田1088
アミュージアム茂原店,千葉県茂原市高師１６１９－１
ソユーゲームフィールド木更津店,千葉県木更津市築地１−４イオンモール木更津２F
イスカンダル木更津店,千葉県木更津市潮見４−１−２
千葉レジャーランド野田店,千葉県野田市吉春776-1
ｎａｍｃｏ流山おおたかの森Ｓ・Ｃ店,千葉県流山市おおたかの森南１−５−１おおたかの森Ｓ・Ｃ３Ｆ
ウェアハウス南流山店,千葉県流山市南流山４−１６−６
セガ我孫子,千葉県我孫子市柴崎字天王谷47-1
ＧａｍｅＦｉｅｌｄ千城台店,千葉県千葉市若葉区千城台北３丁目２１−１イコアス千城台３Ｆ
セガアリーナ蘇我,千葉県千葉市中央区川崎町51-1ハーバーシティ蘇我FW AM棟1F
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2
ハイテクランドセガ立石,東京都葛飾区立石7-2-1
ハイテクセガ葛西,東京都江戸川区西葛西5-1-14第一保志ビル
タイトーＦステーション西葛西,東京都江戸川区西葛西６−６−１０
セガ船堀,東京都江戸川区船堀1-6-11
ドットコム葛西,東京都江戸川区中葛西３−３５−５
セガワールド葛西,東京都江戸川区東葛西9-3-3イトーヨーカドー3F
アムネット小岩店,東京都江戸川区南小岩６−３１−３石井ビル１Ｆ
ラウンドワンダイバーシティ東京プラザ店,東京都江東区青海1-1-10ダイバーシティ東京プラザ6階61000
ラウンドワン南砂店,東京都江東区南砂６−７−１５トピレックプラザ４Ｆ
ハローズガーデン北砂店,東京都江東区北砂２−１７−１アリオ北砂店３Ｆ
タイトーステーション国分寺店,東京都国分寺市本町３−５−１１
アドアーズ渋谷,東京都渋谷区宇田川町１３−１１　ＫＮ渋谷１ビル
ハイテクランドセガ渋谷,東京都渋谷区渋谷1-14-14
タイトーステーション 渋谷店,東京都渋谷区渋谷１−２４−１２渋谷東映プラザ
ウェアハウス一橋学園店,東京都小平市学園東町一丁目４番３９号平山ビル３Ｆ
アミュージアム昭島店,東京都昭島市田中町５７３－１－２
タイトーＢＩＧＢＯＸ高田馬場店,東京都新宿区高田馬場１−３５−３　ＢＩＧＢＯＸ６Ｆ
新宿スポーツランド本館,東京都新宿区新宿3-22-12
タイトーステーション新宿東口店,東京都新宿区新宿３−２２−７　指田ビル
タイトー新宿南口ゲームワールド店,東京都新宿区新宿３−３５−８
セガ神楽坂,東京都新宿区神楽坂2-11第2カグラヒルズ1F
クラブセガ新宿西口,東京都新宿区西新宿1-12-5
タイトーステーション新宿西口店,東京都新宿区西新宿１−１３−４
ゲームスタジオキューブ高円寺店,東京都杉並区高円寺南4-26-12-B1
アピナ荻窪店,東京都杉並区上荻１−１３−１０ハクサンビル
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵382-1
ユーズランド日の出店,東京都西多摩郡日の出町大字平井237-3イオンモール日の出３Ｆ
キャロム青梅店,東京都青梅市千ケ瀬町4-326-1
セガ秋葉原１号館,東京都千代田区外神田1-10-9
セガ秋葉原3号館,東京都千代田区外神田1-11-11外神田１丁目ビルディング
セガ秋葉原4号館,東京都千代田区外神田1-15-9
東京レジャーランド秋葉原店,東京都千代田区外神田1-9-5
タイトーステーション 秋葉原店,東京都千代田区外神田４−２−２貴三ビル
東京レジャーランド秋葉原2号店,東京都千代田区外神田4-3-3ミナミビル6F・7F
ハイテクランドキューデン,東京都足立区西新井栄町2-7-2
セガ竹の塚,東京都足立区竹の塚6-8-6 ピーくんPlaza-B
ウェアハウス入谷店,東京都足立区入谷７−８−１１
ウェアハウス保木間店,東京都足立区保木間１−１−１９
ザ・サードプラネット多摩センター店,東京都多摩市落合１−４１−１マグレブウェスト１階・２階
アドアーズ上野アメ横,東京都台東区上野４−９−１４上野Ｋ．ＫビルＢ１〜４階
セガワールド大森,東京都大田区山王2-1-5大森駅ララビル2F
シルクハット　大森,東京都大田区山王２−２−１５
シルクハット　蒲田西口,東京都大田区西蒲田７−２−３　第二醍醐ビル地下１階〜２階
ソユーザウルスワールド　大森店,東京都大田区大森北２－１３－１ イトーヨーカドー大森店３Ｆ
ハイテクランドセガ池上,東京都大田区池上6-2-3松山ビル2Ｆ
アドアーズ中野,東京都中野区中野５−５２−１５　ブロードウェイ１８５
セガ町田,東京都町田市原町田6-13-17アーバンミサワビルB1
タイトーステーション 町田店,東京都町田市原町田６−２１−２３　松山ビル１階
ラウンドワン町田店,東京都町田市森野１−１３−１４
アミューズランドモナコ調布駅前店,東京都調布市布田４−２−２２
セガワールド東大和,東京都東大和市桜が丘1-1330-19BIGBOX東大和1F
アピナ八王子みなみ野店,東京都八王子市みなみ野１−２−１アクロスモール３Ｆ
シルクハット　八王子,東京都八王子市旭町２−５　八王子ツインタワービル３階
ソユープレイランドソピア八王子店,東京都八王子市狭間町1462-1イトーヨーカドー八王子店3F
ドラマ八王子高倉店,東京都八王子市高倉町55-4
アドアーズ八王子,東京都八王子市東町１１−３　センチュリーＳＴビル
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラル
ソユープレイランドソピア　南大沢店,東京都八王子市南大沢２－２８－１ イトーヨーカドー南大沢店３Ｆ
タイトーＦステーション南大沢店,東京都八王子市南大沢２−３Ｆａｂ南大沢２Ｆ
ゲームシティ板橋店,東京都板橋区小茂根１−３２−９
８ＧＡＭＥＳ　上板橋,東京都板橋区常盤台４−３３−１５
ラウンドワン板橋店,東京都板橋区相生町１６−１３
アピナＳ武蔵小山店,東京都品川区小山３−２３−３ＳＤビルＢ１Ｆ
アムネット五反田店,東京都品川区西五反田１−２７−５
セガワールド府中,東京都府中市西原町1-6-2フレスポ府中1F・2F
ラウンドワン府中本町駅前,東京都府中市本町１−１３−３カネタビル
ラウンドワン武蔵村山店,東京都武蔵村山市伊奈平３−１−１
セガイオンモールむさし村山,東京都武蔵村山市榎1-1-3-2059
プラサカプコン吉祥寺店,東京都武蔵野市吉祥寺本町1-10-1いなりやビルB1F
ラウンドワン吉祥寺店,東京都武蔵野市吉祥寺本町1-11-22
フォルム武蔵境,東京都武蔵野市境南町２−７−２０ダイヤパレス第２　１階
セガワールド福生,東京都福生市福生1076-1
セガ東京ドームシティ,東京都文京区後楽1-3-61
タイトーステーション 池袋西口店,東京都豊島区西池袋１−１５−９第一西池ビル
ラウンドワン池袋店,東京都豊島区東池袋１−１４−１
プラサカプコン池袋店,東京都豊島区東池袋１−２０１−１キュープラザ３階
セガ池袋ＧｉＧＯ,東京都豊島区東池袋1-21-1
ｎａｍｃｏ池袋店ＲＥＤ,東京都豊島区東池袋１−２２−１０　ＨＵＭＡＸパビリオン１Ｆ
ｎａｍｃｏ王子サンスクエア店,東京都北区王子１−４−１サンスクエア２階
セガ赤羽駅前,東京都北区赤羽１−２−４
セガ赤羽,東京都北区赤羽1-7-9赤羽第一葉山ビルB1
タイトーステーション 錦糸町楽天地店,東京都墨田区江東橋４−２７−１４楽天地ビルＢ１Ｆ
タイトーＦステーションオリナス錦糸町店,東京都墨田区太平4-1-2オリナスモール地下1F
クラブセガ自由が丘,東京都目黒区自由が丘2-10-9
ゲームセンターＷＩＬＬ　ＷＧＣ,東京都立川市羽衣町２−４−１３羽衣長田ビル１０１ＷＧＣ
クラブセガ立川,東京都立川市柴崎町3-2-1グランデュオビル1.2F
アドアーズ立川,東京都立川市柴崎町3-4-3TE柴崎ビルB1〜3F
タイトーステーション立川北口店,東京都立川市曙町２−４−５クリサス立川２・３Ｆ
ミラクルイン中村橋,東京都練馬区貫井１−１−２ＹＫビル２Ｆ
アミュージアムＯＳＣ店,東京都練馬区東大泉２－３４－１ オズスタジオシティ２Ｆ
セガ新大久保,東京都新宿区百人町２丁目１０−１南雲ビルＢ１Ｆ
シルクハット　横須賀中央,神奈川県横須賀市若松町１−５プライムビル２階
プラサカプコン横須賀店,神奈川県横須賀市若松町2-30モアーズシティ4F
クラブセガ新杉田,神奈川県横浜市磯子区杉田1-1-1らびすた新杉田2F
ラウンドワン横浜戸塚店,神奈川県横浜市戸塚区影取町１７５９−５
ソユーゲームフィールド上大岡店,神奈川県横浜市港南区上大岡西１−１８−３　ミオカリスト館６階
アミューズメントパークジアス上大岡,神奈川県横浜市港南区上大岡西2-1-28
クラブセガ綱島,神奈川県横浜市港北区綱島西2-6-29
ラウンドワン横浜綱島店,神奈川県横浜市港北区樽町２−６−４０Ｔ-PLATZ内
イミグランデ日吉店３,神奈川県横浜市港北区日吉2−2−4
タイトーステーション 横浜西口五番街店,神奈川県横浜市西区南幸１−１２ー９
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸２−８−１６
シルクハット　伊勢佐木町,神奈川県横浜市中区伊勢佐木町３—９６日活会館３階
セガセンター南,神奈川県横浜市都筑区茅ヶ崎中央３−２５
