name,address,loc_id,latitude&longitude
"モーリーファンタジー中標津","北海道 標津郡中標津町 南町 3-10　東武サウスヒルズ1F","G2FCfZX_8C1oY1vjXjXHag","43.53624 144.977804"
"GiGO BOWLノルベサ","北海道 札幌市中央区 南三条西 5-1-1　ノルベサ6F","qx8FLcTnJqdWVG6vsRna0w","43.056137 141.350894"
"GiGO ココノススキノ","北海道 札幌市中央区 南四条西 4-1-1　COCONO SUSUKINO 3F","AsIcBXCG9dPloV9v4qL43w","43.053771 141.337006"
"アミューズメントスペースジョイランド定山渓ビューホテル","北海道 札幌市南区 定山渓温泉東 2　定山渓ビューホテル内","tLb9BMabXEvB3gD0lAQ_DA","42.968979 141.167416"
"トム・ソーヤのなかまたち。札幌藻岩","北海道 札幌市南区 川沿二条 2-1-1　イオン札幌藻岩店2F","qgfyS_q8NfwWfDqu6DfsXg","42.999313 141.336483"
"モーリーファンタジー新さっぽろ","北海道 札幌市厚別区 厚別中央二条 5-6-2　新さっぽろアークシティdUo2　2F","90yK5_GlyQkmVCUDCUeFyA","43.038058 141.471698"
"ていね温泉ほのか","北海道 札幌市手稲区 富丘二条 3-2-1　ゲームコーナー","0qY4WMzkzA7tSR_47F1Dmg","43.104879 141.25275"
"ラッキー星置駅前","北海道 札幌市手稲区 星置一条 2-1-1　ラッキー星置駅前店内ゲームコーナー1F","G2T4iHDQAgReXR49tvVr3Q","43.132866 141.211645"
"タイトーステーションイオンモール札幌平岡","北海道 札幌市清田区 平岡三条 5-3-1　イオンモール札幌平岡2F","8gsGDvCyXNETblceXPBXFQ","42.997241 141.458713"
"湯の郷 絢ほのか","北海道 札幌市清田区 清田二条 3-2-26　ゲームコーナー","-K3XsLR7Lt3Ui_G8E1lElQ","43.001199 141.435743"
"モーリーファンタジー東札幌","北海道 札幌市白石区 東札幌三条 2-1　イオン東札幌2F","GML6YZF0fCYd_W75x8pKBg","43.052723 141.385223"
"キャッツアイ栄通","北海道 札幌市白石区 栄通 19-11-43","pOwKF8yvhuESOvB5hHligA","43.025348 141.436631"
"わいわいランド琴似","北海道 札幌市西区 琴似二条 1-4-1　イトーヨーカドー琴似店3F","1iW-Nfh-VriT-CO27uXRnA","43.080733 141.30593"
"モーリーファンタジー札幌琴似","北海道 札幌市西区 琴似二条 4-2-2　イオン札幌琴似店3F","iM1-ACwjFq7cKUpONQBh2g","43.076764 141.30298"
"キャッツアイミュンヘン大橋","北海道 札幌市豊平区 平岸一条 23-801-1","Gu67ZztLh0pzGnsSk7Uzbw","43.013979 141.355013"
"イオン札幌西岡","北海道 札幌市豊平区 西岡三条 3-4-1　イオン札幌西岡店2Fゲームコーナー","oqZtAnO4bXeEP4HTrheCZQ","43.018465 141.387296"
"BIG BANG 函館","北海道 函館市 梁川町 9-3　パボッツ函館3F","UM3Do5bZM6dqGYnwniSEPg","41.789039 140.744381"
"コープさっぽろ湯川店ファミリーランド","北海道 函館市 湯川町 1-34-15　コープさっぽろ湯川店2F","50XxI1sH6kHnKK-2R61vPQ","41.781434 140.782284"
"モーリーファンタジー湯川","北海道 函館市 湯川町 3-14-5　イオン湯川店1・2F","1DRoMetfv7pKEqFijodX7A","41.777661 140.794031"
"ピーターパンと仲間たち函館","北海道 函館市 美原 1-3-1　グランディールイチイ1F","7szZR3gNGKg-8KmMrggtCQ","41.813443 140.758461"
"あそびパークウイングベイ小樽","北海道 小樽市 築港 11-1　ウイングベイ小樽1番街3F","UzAXGJZYgE2DYmSZbMC2ww","43.182522 141.026117"
"モーリーファンタジー旭川パルプ","北海道 旭川市 パルプ町一条 2-505-2　SCパルプタウン1F","sGok0_OoniIWfLd6LtZz_Q","43.775108 142.38436"
"GiGO メガセンタートライアル旭川","北海道 旭川市 六条通 14-64　メガセンタートライアル旭川2F","rpTbWGpoXg6PUBtE-SOJJg","43.76879 142.369611"
"アミューズメントスペース遊ランド春光","北海道 旭川市 春光一条 7-2-25　第2ダイワビル2F","Xaqa-MmVS9DlDnuG3vkdbw","43.798197 142.374036"
"ファンタジープラザ旭川","北海道 旭川市 春光一条 8-1-65　MEGAドン・キホーテ旭川店2F","sl0_cPAYkWFX0q7KUSIghw","43.798536 142.378164"
"ゲームフィールド旭川春光","北海道 旭川市 春光町 10　イオン旭川春光SC内","TJTXLOLC-p1O6IbnBWn2qQ","43.792775 142.35565"
"ファンタジーランドイオン旭川永山","北海道 旭川市 永山三条 12-2-11　イオン旭川永山店3F","sQ23isrN5GQe-Hpyhfp5ww","43.801284 142.420948"
"アミューズメントスペース遊ランド西御料","北海道 旭川市 西御料五条 2-1","ZAWsW9j8yFJi-GcK1w2TqA","43.723872 142.368868"
"アミューズメントランドイオン室蘭","北海道 室蘭市 東町 2-4-32　イオン室蘭店2F","sYRhy6ZF39e1YoONfDqhqQ","42.345101 141.026188"
"GiGO 室蘭","北海道 室蘭市 東町 4-31-3","gDYKpI2gGP0j70rp_0ypyw","42.342173 141.025957"
"モーリーファンタジー釧路昭和","北海道 釧路市 昭和中央 4-18-1　イオンモール釧路昭和　イオン釧路昭和店2F","G6lF8aysB15luz2o2voOxw","43.027091 144.360348"
"ハロータイトー釧路貝塚","北海道 釧路市 貝塚 3-2-28","L6sYfMc328uZvLls0U3d-g","42.99621 144.410224"
"キッズパーク イオン帯広","北海道 帯広市 西四条南 20-1　イオン帯広店2F","ySUFMMMZ1mp8_SI7x8wktw","42.908887 143.200495"
"BIG BANG 北見","北海道 北見市 中央三輪 7-446-1","CCc6opAOJGrvleAYeQKaSw","43.796972 143.851408"
"ちびっこ遊園地ジョイランドイオン北見","北海道 北見市 北進町 1-1-1　イオン北見店3F","XdQrw6tjk-zbRY08Jw3lGA","43.808267 143.87553"
"キッズパーク イオン岩見沢","北海道 岩見沢市 大和四条 8-1　イオン岩見沢店2F","yfX29Jj6jz-JUQTcXdLTxw","43.184092 141.7431"
"PALO網走","北海道 網走市 駒場北 5-83　駒場ショッピングタウン内","W4VJI8VT1y0zwbZLamqTOw","44.000901 144.283923"
"ゲオ留萌","北海道 留萌市 花園町 4-8-5","hqAIkZEqXSGAszGlGiuuNg","43.938182 141.654861"
"ファンタジープラザ苫小牧","北海道 苫小牧市 木場町 1-6-1　MEGAドン・キホーテ苫小牧店3F","QoaC7jh9aioYJJDBakOclA","42.641042 141.595285"
"こどものくに稚内西條","北海道 稚内市 大黒 4-7-1　稚内西條店内","-XbWtliVNfQ8G_U9G32VuQ","45.397447 141.692923"
"アミューズメントスペース遊ランド稚内","北海道 稚内市 港 5-8-15","kI8lAziyvWuHSU42ftYEzg","45.400738 141.68089"
"キッズパーク イオン紋別","北海道 紋別市 花園町 3-4-39　イオン紋別店2F","_6kF7M6lM8xbyBdXP4-jOg","44.349532 143.347874"
"アミューズメントスペース遊ランド士別","北海道 士別市 大通東 8","kXYrkKuPk7II_dh5GOnjvQ","44.173917 142.394326"
"モーリーファンタジー名寄","北海道 名寄市 徳田 80-1　イオン名寄SC2F","5mJvoptav_4AcpEC9K-NVQ","44.338781 142.451984"
"アミューズメントランドイオン根室","北海道 根室市 常盤町 3-9　イオン根室店2F","rlzJfIzYletB7sbOQ8rErg","43.332226 145.582949"
"タイトーステーション千歳","北海道 千歳市 北栄 2-12-5","aV_F6ZW9Z0vAShh_EQVTBA","42.833339 141.645548"
"遊ランド富良野","北海道 富良野市 弥生町 5-50","gzz2qFKkzYllWlMculSDtw","43.344251 142.378529"
"アミューズメントスペースGAME PLAZA第一滝本館","北海道 登別市 登別温泉町 55　第一滝本館内","zxHqbVvk8Ygbmzh-E64dPg","42.495074 141.144963"
"キャッツアイ恵庭","北海道 恵庭市 住吉町 2-9-1","FA3p5k7wZGjc5QDJ64GzGA","42.875885 141.583461"
"ちびっこ遊園地ジョイランドイオン伊達","北海道 伊達市 末永町 8-1　イオン伊達店2F","otTmdK9ixlf-BQGW_AFQvw","42.473528 140.862701"
"モーリーファンタジー石狩緑苑台","北海道 石狩市 緑苑台中央 1-2　イオン石狩緑苑台SC　イオンスーパーセンター石狩緑苑台店1F","2Krk3WJgMA9uAF9AoFx01w","43.158187 141.335453"
"GiGO スーパーセンタートライアル上磯","北海道 北斗市 七重浜 7-14-1　スーパーセンタートライアル上磯店1F","4Uqs3j4uogmlRGeEVEjwaQ","41.820381 140.695913"
"ちびっこ遊園地ジョイランドイオン余市","北海道 余市郡余市町 黒川町 12-62-1　イオン余市店2F","aW-OvKVSYr35T8eku3NfTQ","43.185627 140.798531"
"キャッツアイ静内","北海道 日高郡新ひだか町 静内木場町 2-1-41","MevGitmulqDv-HcOi70XOg","42.34142 142.35565"
"アミューズメントスペースジョイランド洞爺サンパレス","北海道 有珠郡壮瞥町 洞爺湖温泉 7-1　洞爺サンパレス内","ZbU8oG0j3BQWYbzbPM86Gw","42.565474 140.833307"
"キャッツアイ静内","北海道 日高郡新ひだか町 静内木場町 2-1-41","MevGitmulqDv-HcOi70XOg","42.34142 142.35565"
"ルスツリゾートゲームワールド","北海道 虻田郡留寿都村 字泉川 13","muQthoNOHeOkMZeN91gCyQ","42.73677 140.910574"
"ユーズランド下田","青森県 上北郡おいらせ町 中野平 40-1　イオンモール下田1F","mSS8_YA6PY90rt4wxxebBg","40.601457 141.417784"
"タイトーステーション青森ガーラタウン","青森県 青森市 三好 2-3-19","EXoxy7nx3y4WI_hTV-CfBA","40.833929 140.70151"
"ラ・セラキッズ","青森県 青森市 八重田 4-2-1　ラ・セラ東バイパスSC内","AtDm1DZELH8HO8lQKSfXHQ","40.827453 140.800296"
"ソユーゲームフィールド青森","青森県 青森市 浜田 1-14-1　CiiNA CiiNA青森2F","ymr_FoT-qF2LR3v6Rvt9ew","40.800813 140.749054"
"ラウンドワン青森","青森県 青森市 浜田 3-1-1","L89y1qRIN153St-aNZj91w","40.799322 140.748564"
"タイトーステーション青森アムゼ","青森県 青森市 緑 3-9-2　サンロード青森アムゼ内","7MKOMN45IrUMRgcHfxT3_Q","40.807812 140.753293"
"ソユースペースファンタジーインフィニ","青森県 弘前市 城東北 3-10-1　さくら野百貨店弘前店4F","3nUxecHCAT-i7SPYI6gJ9g","40.607213 140.49568"
"ファミリーランド弘前","青森県 弘前市 駅前 3-2-1　CiiNA CiiNA弘前4F","UokRUyfWMK-RviuHuXu_gQ","40.599359 140.481052"
"ゲームフェスタミタマ","青森県 弘前市 駅前町 5-5","pSzUpBQEV_PdRVO4XGyYLw","40.598386 140.483546"
"HapipiLandヒロロ弘前","青森県 弘前市 駅前町 9-20　ヒロロ4F","ZsIWo7xExLMjyv1PR4HWGQ","40.597524 140.481759"
"タイトーFステーション八戸","青森県 八戸市 三日町 27","a5NyLtmiGQRrZS4uLih95w","40.509307 141.490581"
"GiGO 八戸","青森県 八戸市 城下 4-25-14","LsjVp1XmDlMMuCVWwwiJqg","40.519908 141.4983"
"ファンタジードーム八戸","青森県 八戸市 江陽 2-14-1　ラピア別棟","sVAO7nDuDoMC-BRESBAxww","40.521872 141.502709"
"ゆりの木ボウル","青森県 八戸市 鷹匠小路 10-3　ゆりの木ボウル内ゲームコーナー","djJHTw7Q6c6Qi57mB4Negw","40.506633 141.493676"
"namcoエルムの街ショッピングセンター","青森県 五所川原市 唐笠柳字藤巻 517-1　エルムの街SC　C棟2F","-2WNnG7XXk0xt4TebW3v-A","40.799553 140.454126"
"モーリーファンタジー十和田","青森県 十和田市 大字相坂字六日町山 166-1　イオン十和田SC　イオンスーパーセンター十和田店1F","iMmzbGv7_k8POx_J8sMuyw","40.602992 141.256629"
"イーグルボウル","青森県 十和田市 東四番町 3-39","fhpSUKODaPHClmNPGdOHiA","40.608742 141.221155"
"モーリーファンタジーつがる柏","青森県 つがる市 柏稲盛 幾世41　イオンモールつがる柏1F","GHLC5YQFTZnXJi2l0zZ0oQ","40.803095 140.416365"
"モーリーファンタジー下田","青森県 上北郡おいらせ町 中野平 40-1　イオンモール下田　イオン下田店2F","PsRSzvosRWnoTNDwER3gPA","40.601962 141.419372"
"ゲオ青森浜館","青森県 青森市 浜館 3-3-18","QGTJE77TpmtRipSV9GK9Lg","40.807522 140.787076"
"GiGO 弘前","青森県 弘前市 末広 1-3-3","RsTCh9SA27jtPqZPPn9l6g","40.604073 140.499919"
"ゲームフィールド弘前樋の口","青森県 弘前市 樋の口 2-9-6　イオンタウン弘前樋の口1F","uDyNrqGhIHHWQiZtdxbcAQ","40.602727 140.444168"
"ソユーゲームフィールド八戸","青森県 八戸市 沼館 4-7-112　ピアドゥB棟2F","joVNChSPBBuG_mH5P-94qQ","40.527767 141.497134"
"モーリーファンタジー八戸田向","青森県 八戸市 田向字毘沙門平 27-1　イオン八戸田向SC　イオン八戸田向店1F","YxAxGe3EELbtGvI01uJj8Q","40.492005 141.509598"
"PALO黒石","青森県 黒石市 富士見 103-3　アクロスプラザ黒石内","FPuQpDH2tKx2miHUAffGFg","40.666617 140.601765"
"PALO五所川原","青森県 五所川原市 唐笠柳字藤巻 641-1　アクロスプラザ五所川原内","iGiTD_GnCPPKQN5JlLGvEA","40.800759 140.46146"
"モーリーファンタジー三沢","青森県 三沢市 松園町 3-10-1　ビードルプラザ三沢SC1F","eeGZhGM6ZmpHLeb_D_aT0w","40.674993 141.36303"
"ゲオ三沢","青森県 三沢市 栄町 2-31","MP9ZuC-05ULEO-_rl02cBw","40.67392 141.365196"
"PALOむつ","青森県 むつ市 中央 2-7-8　1F","PurJpYxrN9yfeLBBfPADXA","41.28688 141.18373"
"ハロータイトーむつ","青森県 むつ市 小川町 2-4-8　マエダ本店4F","nLk0daZRWahnR4npRIPJsg","41.29291 141.207841"
"ゲームランドつがる柏","青森県 つがる市 柏稲盛幾世 41　イオンモールつがる柏本館2F","Y5vRfIhq_cnJiO5cMj95pg","40.802632 140.416655"
"モーリーファンタジー平賀","青森県 平川市 小和森上松岡 193-1　イオンタウン平賀　マックスバリュ平賀店1F","fSRgiOpqXHHqH3Klh92R6Q","40.591256 140.566251"
"モーリーファンタジー藤崎","青森県 南津軽郡藤崎町 西豊田 1-7-1　イオン藤崎店2F","okowiSbnuKijOk6hW32V5w","40.657169 140.501486"
"モーリーファンタジー鶴田","青森県 北津軽郡鶴田町 鶴田字中泉 245-1　スーパーストア鶴田フッドリバーモール1F","9sV6nU1FZfI7yXVccQeb2Q","40.764403 140.441335"
