ゲームゾーントレジャー北町店	山形ファミリーボウル
三戸郡五戸町大字扇田字西の沢21-1	〒039-1527 青森県三戸郡五戸町扇田西ノ沢22-1
八戸市江陽2-14-1ラピア長崎屋八戸店内 	〒031-0801 青森県八戸市江陽２丁目１４−１ ラピア八戸店 別棟
静岡市葵区呉服町2-5-4ふしみや第2ビル 5F	 〒420-0031 静岡県静岡市葵区呉服町２丁目５番地４ 第２ビル ふしみやビル
猿島郡境町1327-1MGMパワーセンター内1F	 〒306-0433 茨城県猿島郡境町１３２７−１
大和市大和東1-4-3大黒屋ビル1-2F､事4F	 〒242-0017 神奈川県大和市大和東１丁目４−３ 1～2F 大黒屋ビル　大和市大和東1-4-3  大黒屋ビル1-2F､事4F
大田区西蒲田8-24-12IMONボウル1Fゲームコーナー	 〒144-0051 東京都大田区西蒲田８丁目２４−１２ イモンビル
葛飾区新小岩1-44-4VORT新小岩B1-3F	〒124-0024 東京都葛飾区新小岩1-44-4 VORT新小岩 B1F～3F
ランブルプラザ	池袋ゲーセン ミカドｉｎランブルプラザ
豊島区東池袋1-42-1	〒170-0013 東京都豊島区東池袋１丁目４２−１９
いわき市小名浜住吉字折返2-2	〒971-8124 福島県いわき市小名浜住吉折返２−２
草加市氷川町2125-1	〒340-0034 埼玉県草加市氷川町２１２５−１
スーパーウェーブ柏店	SUPER WAVE 柏店
相模原市緑区橋本3-3-1SING橋本2F	〒252-0143 神奈川県相模原市緑区橋本3-3-1 SING橋本2階
高岡市戸出町野瀬689	〒939-1101 富山県高岡市戸出６８９
ぞうさん	オートレストラン ぞうさん
新飯田オークラボウル 内ムサシ	新飯田オークラボウル
新宮市新宮3647	〒647-0082 和歌山県新宮市鴻田１丁目１１−２１
北九州市八幡西区上の原1-8-18	〒807-0071 福岡県北九州市八幡西区上の原１丁目８−１８
熊本市中央区大江1-6-6	〒862-0971 熊本県熊本市中央区大江１丁目６−６


