アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1
ラウンドワン大宮店,埼玉県さいたま市大宮区宮町4−90−7
ラウンドワンわらび店,埼玉県蕨市北町5−1−6
ウェアハウス上尾店,埼玉県上尾市二ツ宮1044
ウェアハウス越谷店,埼玉県越谷市南荻島841−1
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7
ゲームファクトリーマグマ草加店,埼玉県草加市氷川町2125-1
ゲームシティ川口店,埼玉県川口市栄町1-10-5
ウェアハウス岩槻店,埼玉県さいたま市岩槻区加倉3−3−63
アドアーズ和光,埼玉県和光市本町3−5ワコーステーション3 1−3F
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野2−16−1LCモールうれし野2F
namco熊谷店,埼玉県熊谷市銀座2-97CARPA1階
GiGO花園,埼玉県深谷市荒川359
シルクハット川口,埼玉県川口市栄町3−1−16イート川口ビル4F
GiGOイオンモール与野,埼玉県さいたま市中央区本町西5ー2−9イオンモール与野3F
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200
ラウンドワン朝霞店,埼玉県朝霞市膝折町2−16−10
サープラ八潮あそびタウン,埼玉県八潮市大瀬1−1−3フレスポ八潮3F
宝島 浦和美園店,埼玉県さいたま市緑区美園5−50−1イオンモール浦和美園2F
ラウンドワン上尾店,埼玉県上尾市大字平塚917−1
ウェアハウス草加店別館,埼玉県草加市稲荷2−36−33
ラウンドワンさいたま・栗橋店,埼玉県久喜市小右衛門192−1
ラウンドワン入間店,埼玉県入間市小谷田3−7−25
ビッグボウル杉戸,埼玉県北葛飾郡杉戸町大字杉戸2338
プラサカプコン羽生店,埼玉県羽生市川崎2−281−3イオンモール羽生2階
ウェアハウス三橋店,埼玉県さいたま市西区三橋6−955−1
ラウンドワン草加店,埼玉県草加市谷塚上町204番1
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F
アピナ川越店,埼玉県川越市泉町1−1 ウニクス南古谷シネマ棟1F
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町大字金久保394−1
タイトーステーション 所沢店,埼玉県所沢市日吉町3−7
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田3163−7
ギガステーション戸田店,埼玉県戸田市大字美女木943-7
ソユーゲームフィールド川口店,埼玉県川口市並木元町1−79 アリオ川口3F
ソユーゲームフィールド菖蒲店,埼玉県久喜市菖蒲町菖蒲6005番地1 モラージュ菖蒲3F
SOYUGameFeild熊谷,埼玉県熊谷市銀座2-245ﾆｯﾄﾓｰﾙ4F
ハローズガーデンワカバウォーク店,埼玉県鶴ヶ島市富士見1-2-1ワカバウォーク2F
ユーズランド春日部店,埼玉県春日部市下柳420−1イオンモール春日部2F
アピナ上尾店,埼玉県上尾市緑丘3−3−11−2 P・A・P・A上尾SC別棟
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町1−1
GiGO南越谷ラクーン,埼玉県越谷市南越谷1丁目15番1号南越谷ラクーン2F
埼玉レジャーランド大宮ラクーン店,埼玉県さいたま市大宮区宮町1-60 RAKUUN5階
ラウンドワン所沢店,埼玉県所沢市東町5丁目22 6階
パラボランド上尾ショーサンプラザ店,埼玉県上尾市谷津2−1−1ショーサンプラザ5階
タイトーステーション 柏店,千葉県柏市柏2−3−1フーサワビル
GiGO柏,千葉県柏市柏1−1−11丸井デパート内B1F
GiGO千葉,千葉県千葉市中央区富士見2−4−1
