店名,場所
セガ名取セッツウイングス,宮城県名取市飯野坂土城堀５７－１
セガワールド石巻,宮城県石巻市大街道東４－１－４５
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前1番53-1
山形スーパーノバ天童,山形県天童市南町1-5-26
セガワールド北山形,山形県山形市北町１－３－２０
セガ米沢,山形県米沢市大字花沢字タナコ原１７７
ＡＧスクエア庄内,山形県東田川郡三川町猪字大堰端３２６番地６
福島タイトーアミューズメントシティ郡山,福島県郡山市南2-38　フレスポ郡山店
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５－１
ディノスパーク南福島,福島県福島市黒岩字中沖43番地2号
スーパーノバ福島,福島県福島市黒岩字中島7-2
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
ＳＯＹＵ　Ｅ-ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内
ラウンドワン福島店,福島県福島市太田町14-18
ラウンドワン郡山店,福島県郡山市向河原町４－５５
セガ小名浜,福島県いわき市小名浜林城字塚前１８－１
セガ日和田,福島県郡山市日和田町字西中島７－１
セガワールド白河,福島県白河市新高山１－１
セガワールド福島,福島県福島市本内中井1-2
セガワールド勿来,福島県いわき市勿来町四沢字鍵田１３
群馬群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３－１高崎ＥＸビル２Ｆ
群馬レジャーランド太田店,群馬県太田市西矢島町162-2
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1
群馬レジャーランド渋川店,群馬県渋川市八木原1364
ゲームシティボストン,群馬県前橋市大友町3-7-3
アピナ太田店,群馬県太田市内ケ島町９０７－１
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ
ラウンドワン前橋店,群馬県前橋市天川大島町１１０１－１
セガワールド太田,群馬県太田市西矢島町575
セガワールド沼田,群馬県沼田市下久屋町1100-1
セガワールド館林,群馬県館林市小桑原大道西949-1
栃木ドラマ足利店,栃木県足利市朝倉町244-1
タイトーＦステーションおやまゆうえん,栃木県小山市喜沢１４７５－５２
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６－５－１
ゲーム＆ビリヤード　遊ｉｎｇ,栃木県宇都宮市石井町下平出境2707-4
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町７－３
アピナ小山店,栃木県小山市駅南町４－２７－１８
ゲームモアイ宇都宮店,栃木県宇都宮市川田町1001-1AMモールソーレ21　2階
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２－１
ラウンドワン栃木・樋ノ口店,栃木県栃木市樋ノ口町５５－１
セガワールド宇都宮,栃木県宇都宮市東宿郷5-1-7
セガワールド小山,栃木県小山市東城南1-1-18
セガ西那須野,栃木県那須塩原市南郷屋2-106-27
セガ今市,栃木県日光市芹沼１４４８－１
茨城ジャムジャム神栖店,茨城県神栖市神栖1-8-1
プラサカプコン土浦店,茨城県土浦市真鍋2-1-29
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内
アミューズビバ,茨城県ひたちなか市東大島２－１１－１１
フェドラ水戸,茨城県水戸市千波町2017-1
ピンクパンサー下妻店,茨城県下妻市小島884-10
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1
ピンクパンサーつくば店,茨城県つくば市小野崎177-2
ピンクパンサー日立店,茨城県日立市東多賀町5-10-10
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町3276-1
ピンクパンサー那珂店,茨城県那珂市菅谷1593-8
アピナ下館店,茨城県筑西市玉戸１０１２－３
ユーズランド水戸内原店,茨城県水戸市内原２－１イオンモール水戸内原２Ｆ
セガワールド日立,茨城県日立市田尻町3-26-1
セガ霞ヶ浦,茨城県稲敷市西代1473-1
セガ水戸,茨城県水戸市宮町１－７－４４コムボックス３１０
ＡＧスクエア石岡,茨城県石岡市東大橋中峯１９７６
セガワールド龍ヶ崎,茨城県龍ケ崎市藤ケ丘４－２－８
埼玉アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１－１
プラサカプコン羽生店,埼玉県羽生市川崎２－２８１－３イオンモール羽生２階
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際163-1
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200
Ｓｐｉｃａ大宮南銀店,埼玉県さいたま市大宮区仲町1-57
ベネクス浦和店,埼玉県さいたま市南区辻7-2-8
ベネクス川越店,埼玉県川越市大仙波340-1
ベネクス越谷店,埼玉県越谷市南荻島２７７０－１
キャッツアイ狭山店,埼玉県狭山市入間川３１４１
ＡＭ ＰＩＡ 川口,埼玉県川口市栄町３－１－１６イート川口ビル４Ｆ
ギガステーション戸田店,埼玉県戸田市大字美女木943-7
スクウェアワン幸手店,埼玉県幸手市上高野２１４２－１
キャロム栗橋店,埼玉県久喜市高柳田中１７４１－３
キャロム大宮店,埼玉県さいたま市大宮区仲町１－１７－１大東ビル
ウェアハウス草加店別館,埼玉県草加市稲荷２－３６－３３
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野２－１６－１LCモールうれし野２Ｆ
ゲームシティ川口店,埼玉県川口市栄町1-10-5
ゲームシティプラス川越店,埼玉県川越市泉町１－１　ウニクス南古谷シネマ棟１Ｆ
アピナ上尾店,埼玉県上尾市緑丘３－３－１１－２　Ｐ・Ａ・Ｐ・Ａ上尾ＳＣ別棟
ユーズランド春日部店,埼玉県春日部市下柳４２０－１イオンモール春日部２Ｆ
埼玉レジャーランド川越,埼玉県川越市新富町１−１７−４
ラウンドワン大宮店,埼玉県さいたま市大宮区宮町４－９０－７
ラウンドワンわらび店,埼玉県蕨市北町５－１－６
ラウンドワン朝霞店,埼玉県朝霞市膝折町２－１６－１０
ラウンドワン上尾店,埼玉県上尾市大字平塚９１７－１
ラウンドワン草加店,埼玉県草加市谷塚上町２０４番１
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町大字金久保３９４－１
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３－７
セガ所沢,埼玉県所沢市日吉町８－１
セガワールド入間,埼玉県入間市東藤沢２－１８
セガ川口,埼玉県川口市東領家２－２－１０
セガワールド籠原,埼玉県熊谷市美土里町１－１６９
ＡＧスクエア埼玉花園,埼玉県深谷市荒川359
千葉アドアーズ船橋,千葉県船橋市本町１－３１－２６セブン船橋B1F～４F
宝島新浦安店,千葉県浦安市入船１－４－１イオン新浦安店４Ｆ
アミューズメントエース津田沼,千葉県船橋市前原西2-15-1
ゲームソニックビーム松戸,千葉県松戸市松戸1172-1
アミューズメントエース市川,千葉県市川市市川１－９－１１サン市川ハイツ１階
タイトーステーション 柏店,千葉県柏市柏２－３－１フーサワビル
タイトーステーション 船橋店,千葉県船橋市本町１－６－１
千葉レジャーランド成東店,千葉県山武市姫島111-1
千葉レジャーランド野田店,千葉県野田市吉春776-1
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697番地
ムー大陸稲毛店,千葉県千葉市稲毛区小仲台2-5-7海宝ビル2F
タイトーＦステーション市川妙典店,千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F
スーパービバホーム新習志野店２階,千葉県習志野市茜浜1-1-2 2F
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15
本八幡ゲームUNO,千葉県市川市八幡２丁目１６ー６八幡ハタビルB1F
ラッキー中央店・フェリシダ,千葉県千葉市中央区富士見2-8-1
ラッキーバッティングドーム八千代店,千葉県八千代市大和田新田字八幡後1088
ラッキー西千葉店,千葉県千葉市稲毛区弥生町1-15
ラッキー佐倉店,千葉県佐倉市井野1475
ＡＭ　ＰＩＡ　津田沼,千葉県習志野市津田沼１－２－１十三ビルＢ１Ｆ
パレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町７３１－２５ﾌﾚｽﾎﾟ稲毛A２棟４
チャリオット船橋店,千葉県船橋市藤原5-6-7　2.3階
イスカンダル木更津店,千葉県木更津市潮見４－１－２
イスカンダル五井金杉店,千葉県市原市五井金杉1-47
タイトーFステーション柏中央,千葉県柏市十余二２４９－５
ウェアハウス南流山店,千葉県流山市南流山４－１６－６
ラウンドワン八千代村上店,千葉県八千代市村上南１丁目５番地５４
ラウンドワン習志野店,千葉県習志野市芝園１－４－５
ラウンドワン市川鬼高店,千葉県市川市鬼高４－１－３
ラウンドワンアリオ柏店,千葉県柏市大島田９５０－１－１０７０
ハイテクセガ柏,千葉県柏市柏１－１－１１マルイＶＡＴ館　地下１Ｆ
セガ千葉,千葉県千葉市中央区富士見２－４－１
セガ我孫子,千葉県我孫子市柴崎字天王谷４７－１
セガワールド成田,千葉県成田市東町１５７－５
セガワールド旭,千葉県旭市二字野場３１５０－１
ハイテクランドセガ岩瀬,千葉県松戸市岩瀬６１１－２
セガ幕張,千葉県千葉市美浜区ひび野１－８ﾒｯｾｱﾐｭｰｽﾞﾒﾝﾄﾓｰﾙ１階
セガ松戸,千葉県松戸市日暮1-1-1八柱駅第2ﾋﾞﾙ2F
クラブセガ稲毛オーツーパーク,千葉県千葉市稲毛区園生町３８０－１
東京アドアーズ中野,東京都中野区中野5-52-15ブロードウェイ185
アドアーズ新小岩,東京都葛飾区新小岩1-44-4　新小岩リバティビルB1F～3F
アドアーズ町田,東京都町田市原町田６－２１－２５大正堂第２ビル１-４Ｆ
アドアーズ池袋東口店,東京都豊島区東池袋１－４１－４池袋とうきゅうビル１-２階
アドアーズ蒲田西口店Ｂ館,東京都大田区西蒲田７－５－１０蒲田駅西口会館１階
アドアーズ上野アメ横店,東京都台東区上野４－９－１４上野Ｋ．ＫビルＢ１-４階
ＳＡＭ’Ｓ　ＴＯＷＮ上野,東京都台東区上野４－６－９湯島商事ビル
ゲームサファリ大山,東京都板橋区大山東町60-10やすだ大山駅前店2F
立川オスローバッティングセンター,東京都立川市錦町1-4-27立川オスロービル2、3F
ドラマ野猿店,東京都八王子市大塚628-1
ドラマ八王子高倉店,東京都八王子市高倉町55-4
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵382-1
アミューズランドモナコ調布１号店,東京都調布市布田１－５２－３
アミューズランドモナコ立川店,東京都立川市柴崎町３－４－１カワイヤビル
アミューズランドモナコ吉祥寺店,東京都武蔵野市吉祥寺本町１－９－７高橋ビル
タイトー新宿南口ゲームワールド店,東京都新宿区新宿３－３５－８
タイトーステーション 渋谷店,東京都渋谷区渋谷１－２４－１２渋谷東映プラザ
タイトーＢＩＧＢＯＸ高田馬場店,東京都新宿区高田馬場１－３５－３　ＢＩＧＢＯＸ６Ｆ
タイトーステーション 池袋ロサ店,東京都豊島区西池袋１－３７－１２ロサ会館１階
タイトーステーション新宿東口店,東京都新宿区新宿３－２２－７　指田ビル
タイトーイン 綾瀬店,東京都足立区綾瀬４－９－２９ホーキョボナービル
Ｈｅｙ,東京都千代田区外神田１－１０－５廣瀬本社ビル１階～４階
タイトーステーション 町田店,東京都町田市原町田６－２１－２３　松山ビル１階
○×△□（ラくトス）,東京都葛飾区新小岩１－４４－６
タイトーステーション 池袋西口店,東京都豊島区西池袋１－１５－９第一西池ビル
タイトーステーション立川店,東京都立川市曙町２－４－５クリサス立川２・３Ｆ
プラサカプコン吉祥寺店,東京都武蔵野市吉祥寺本町1-10-1いなりやビルB1F
エムエムランド,東京都世田谷区北沢2-3-6
ドットコム葛西,東京都江戸川区中葛西３－３５－５
東京レジャーランド小岩店,東京都江戸川区南小岩8-15-3
東京レジャーランド秋葉原店,東京都千代田区外神田1-9-5
東京レジャーランド秋葉原2号店,東京都千代田区外神田4-3-3ミナミビル6F・7F
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2
タイトーＦステーションオリナス錦糸町店,東京都墨田区太平4-1-2オリナスモール地下1F
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラル
タイトーＦステーション西葛西,東京都江戸川区西葛西６－６－１０
アムネット五反田店,東京都品川区西五反田１－２７－５
フェドラＢＩＧＦＵＮ平和島店,東京都大田区平和島１－１－１　３階
ＡＭサントロペ池袋,東京都豊島区東池袋１－２９サントロペビル２Ｆ
シルクハット蒲田Ｍ２,東京都大田区西蒲田７－６－３プリンス会館
ＡＭ　ＰＩＡ　大森,東京都大田区山王２－２－１５
シルクハット八王子,東京都八王子市旭町２－５八王子ツインタワービル３階
ゲームスポット２１新宿西口,東京都新宿区西新宿１－１５－２
ゲームシティ板橋店,東京都板橋区小茂根１－３２－９
ゲームシティ国分寺南店,東京都国分寺市南町２－１７－１ハタヤ第一ビル１Ｆ
ラウンドワン南砂店,東京都江東区南砂６－７－１５トピレックプラザ４Ｆ
ラウンドワン町田店,東京都町田市森野１－１３－１４
ラウンドワン板橋店,東京都板橋区相生町１６－１３
ラウンドワン府中本町駅前,東京都府中市本町１－１３－３カネタビル
ラウンドワン池袋店,東京都豊島区東池袋１－１４－１
ラウンドワン吉祥寺店,東京都武蔵野市吉祥寺本町１－１１－２２
ｎａｍｃｏ荻窪店,東京都杉並区上荻１－１３－１０ハクサンビル
セガ池袋ＧＩＧＯ,東京都豊島区東池袋1-21-1
セガ秋葉原１号館,東京都千代田区外神田1-10-9
ハイテクランドセガ渋谷,東京都渋谷区渋谷1-14-14
クラブセガ新宿西口,東京都新宿区西新宿１－１２－５
新宿スポーツランド本館,東京都新宿区新宿3-22-12
セガワールドアルカス,東京都府中市宮西町2-5-1さくら三番館内2、3F
ハイテクセガ葛西,東京都江戸川区西葛西5-1-14第一保志ビル
セガワールド船堀,東京都江戸川区船堀1-6-11
セガ神楽坂,東京都新宿区神楽坂2-11第2カグラヒルズ1F
セガワールド大森,東京都大田区山王2-1-5
クラブセガ立川,東京都立川市柴崎町3-2-1グランデュオビル1.2F
セガワールド東大和,東京都東大和市桜が丘1-1330-19
クラブセガ自由ヶ丘,東京都目黒区自由が丘2-10-9
セガワールド福生,東京都福生市福生1076-1
ハイテクランドセガ立石,東京都葛飾区立石7-2-1
ハイテクランドセガ池上,東京都大田区池上6-2-3松山ビル2Ｆ
セガ秋葉原２号館,東京都千代田区外神田１－１５－１　第一半田ビル
セガワールド府中,東京都府中市西原町１－６－２　府中クレッセ内　1・2F
セガ秋葉原３号館,東京都千代田区外神田１－１１－１１外神田１丁目ビルディング
セガ　代々木,東京都渋谷区代々木１－３５－２
セガ秋葉原４号館,東京都千代田区外神田1-15-9
セガ赤羽,東京都北区赤羽１－７－９赤羽第一葉山ビルＢ１
セガ竹の塚,東京都足立区竹の塚6-8-6 ピーくんPlaza-B
セガ新宿歌舞伎町,東京都新宿区歌舞伎町1-21-1
神奈川アドアーズ藤沢北口,神奈川県藤沢市藤沢４６０－１　３－４Ｆ
アミューズメントパークジアス上大岡,神奈川県横浜市港南区上大岡西2-1-28
ドラマ藤沢店,神奈川県藤沢市本藤沢5-6-8
ドラマ港北インター店,神奈川県横浜市都筑区東方町321-6
小田原メトロポリス,神奈川県小田原市前川字相坪219-4
タイトーステーション 小田原店,神奈川県小田原市栄町１－３－１２
タイトーステーション 横浜西口五番街店,神奈川県横浜市西区南幸１－１２ー９
タイトーステーション溝の口,神奈川県川崎市高津区溝口１−１１−８ＯＫＫＡ６３４ビル３階
プラサカプコン横須賀店,神奈川県横須賀市若松町2-30モアーズシティ4F
神奈川レジャーランド厚木店,神奈川県厚木市戸室5-31-1
ベネクス平塚店,神奈川県平塚市四之宮６－１０－２７
ベネクス大和店,神奈川県大和市下鶴間2752-2
ベネクス川崎,神奈川県川崎市川崎区鋼管通り４－８－３
ゲームインファンファン藤沢店,神奈川県藤沢市鵠沼石上１－３－８
ゲームインファンファン本厚木店,神奈川県厚木市中町２－１－６
シルクハット本厚木,神奈川県厚木市中町2-4-13本厚木駅前ビル
ＡＭ ＰＩＡ川崎モアーズ,神奈川県川崎市川崎区駅前本町７岡田屋モアーズ１、２Ｆ
ＡＭサントロペ伊勢佐木町,神奈川県横浜市中区伊勢佐木町３－９６ 日活会館３Ｆ
シルクハット横須賀中央,神奈川県横須賀市若松町１－５プライムビルＢ１Ｆ
シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町８番地ダイスビルＢ２Ｆ
ＡＭ　ＰＩＡ　大船,神奈川県鎌倉市大船１－２４大船駅前ビル１～３Ｆ
テクモピア向ヶ丘遊園店,神奈川県川崎市多摩区登戸2755ミノワホームズ1F
アピナ橋本店,神奈川県相模原市緑区西橋本５－１－１ラ・フロール駐車場棟１階
ラウンドワン高津店,神奈川県川崎市高津区二子４－８－１
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸２－８－１６
ラウンドワン川崎大師店,神奈川県川崎市川崎区殿町１－５－１
ラウンドワンららぽーと湘南平塚店,神奈川県平塚市天沼１０－１３階 ３３２８０番
パームトップス,神奈川県厚木市中町4-15-9
クラブセガ相模大野,神奈川県相模原市南区相模大野３－１３－２フレスコビル２Ｆ
クラブセガ綱島,神奈川県横浜市港北区綱島西2-6-29
クラブセガ新杉田,神奈川県横浜市磯子区杉田１－１－１らびすた新杉田２Ｆ
セガワールドトレッサ横浜,神奈川県横浜市港北区師岡町７００トレッサ横浜南棟１Ｆ
山梨プラサカプコン甲府店,山梨県中巨摩郡昭和町西条字北河原３７１７
ゲームパニック甲府,山梨県甲府市国母5-20-24
ラウンドワン山梨・石和店,山梨県笛吹市石和町広瀬７３７－１
静岡ジョイランドアミューズ諏訪店,静岡県沼津市大諏訪２０－２
THE 3RD PLANET BiVi沼津店,静岡県沼津市大手町1-1-5
ポート２４浜松店,静岡県浜松市西区坪井町4183-1
タイトーＦステーション静岡,静岡県静岡市呉服町２－５－４　ふしみや第２ビル
ACT御殿場店,静岡県御殿場市東山字石橋296-1
ゲームオフ富士宮,静岡県富士宮市三園平1360
アップル新北街道店,静岡県静岡市葵区沓谷5-13-4
ＳＵＰＥＲＷＡＶＥ静岡,静岡県静岡市駿河区中吉田１５－８
シートピアYAZ焼津店,静岡県焼津市道原585
ＹＡＺワールド浜松葵店,静岡県浜松市中区葵西２－２７－１０
ラウンドワン富士店,静岡県富士市八代町４－１５
ラウンドワン浜松店,静岡県浜松市東区天王町諏訪１９８１－１７
ラウンドワン静岡・駿河店,静岡県静岡市駿河区手越７５
セガワールド静岡,静岡県静岡市葵区七間町4-2静活プラザビル1階・2階
セガ掛川,静岡県掛川市細田２４８
ＡＧスクエア磐田,静岡県磐田市下万能413
ＡＧスクエア袋井,静岡県袋井市川井1142-1
セガワールド富士,静岡県富士市厚原95-1
セガワールド　サントムーン,静岡県駿東郡清水町玉川61-2
愛知M’s PARK豊田店,愛知県豊田市寿町３－２１、２２
M’s PARK刈谷店,愛知県刈谷市稲場町３－２０６
M's PARK小牧店,愛知県小牧市大字村中字稲荷７８３
M’s PARK三郷店西館,愛知県尾張旭市南原山町赤土２０７
ＡＤＸマミー岡崎店,愛知県岡崎市井田新町６－１
ポート２４御津店,愛知県豊川市御津町下佐脇仲荒19-3
ポート２４八事店,愛知県名古屋市昭和区広路町北石坂102番地4
ゲームファンタジアン岡崎店,愛知県岡崎市錦町２－４
ゲームファンタジアン長久手店,愛知県長久手市武蔵塚705
コムテックタワー,愛知県名古屋市中村区名駅４－１０－２０
コムテックスクウェア,愛知県名古屋市中区金山1-16-8
コムテックプラザ赤池,愛知県日進市赤池１－２９０１
ＷＡＶＥ豊川白鳥店,愛知県豊川市白鳥町京次55-1
ＷＡＶＥ田原店,愛知県田原市神戸町大坪１５２－１
アミューズメントクラブノバ,愛知県豊橋市三本木町元三本木８０－２
ゲームファンタジーランドモアイ,愛知県名古屋市緑区桃山３－１６１０－１
ゲームゾーン一宮店,愛知県一宮市羽衣２－５－１
半田メトロポリス,愛知県半田市旭町３－１１－１
小牧メトロポリス,愛知県小牧市間々片山１８１
ゲーム キングジョイ,愛知県名古屋市中区栄3-3-32
ＧＲＥＡ,愛知県名古屋市千種区今池５－２２－１７
オークランドボウル,愛知県春日井市鳥居松町３－１１
Ｕ　ＦＡＣＴＯＲＹｉｎ安城,愛知県安城市住吉町５－１３－３７
アミューズメントスクエア２０１,愛知県岡崎市岩津町１１９－６
ユーワールド豊明,愛知県豊明市前後町螺貝１３８４番地１
タイトーステーション 大須店,愛知県名古屋市中区大須３－２０－７
名古屋レジャーランド大高店,愛知県名古屋市緑区忠治山201番地
名古屋レジャーランド内田橋店,愛知県名古屋市南区内田橋2-26-22
名古屋レジャーランドささしま店,愛知県名古屋市中村区平池町4-60-14 ﾏｰｹｯﾄｽｸｴｱささしま1F
アーバンスクエア大須店,愛知県名古屋市中区大須３－３０－３１
楽市街道 名古屋店,愛知県北名古屋市中之郷新明４５－２
ユーズランド東浦店,愛知県知多郡東浦町緒川旭１３－２イオンモール東浦２Ｆ
ラウンドワン千種店,愛知県名古屋市千種区新栄3-20-17タイホウ千種駅前南ビル8階
ラウンドワン鳴海店,愛知県名古屋市緑区鳴海町杜若２８
ラウンドワン中川１号線店,愛知県名古屋市中川区法蔵町２－２３
ラウンドワン名古屋西春店,愛知県北名古屋市宇福寺神明１５
ラウンドワン半田店,愛知県半田市瑞穂町６－７－８
ラウンドワン豊橋店,愛知県豊橋市大岩町字岩田２７－２
クラブセガ名古屋伏見,愛知県名古屋市中区栄1-4-5
セガ金山,愛知県名古屋市熱田区金山1-19-2
セガ岡崎,愛知県岡崎市上地3-50-4
カーニバル・Ｃ・ドーム,愛知県西尾市上町南又七山31番
アミューズメントプラザワイド,愛知県東海市名和町二番割上１６－２
クラブセガ春日井,愛知県春日井市岩野町４１８０
セガ東名ボール,愛知県瀬戸市西原町2-114
セガ豊田,愛知県豊田市深田町１－６５－１
セガ安城,愛知県安城市百石町2-35-13
アミューズメントプラザ　マルシン,愛知県刈谷市池田町4-609
セガ飯村,愛知県豊橋市飯村町字西山25-121
セガ尾西　,愛知県一宮市篭屋３丁目９番７号
セガイオンタウン刈谷,愛知県刈谷市東境町京和１
セガイオンタウン名西,愛知県名古屋市西区香呑町6-49-1ｲｵﾝﾀｳﾝ名西2階213区画
ファンタジープラザ名古屋,愛知県名古屋市北区玄馬町２３４－１ﾄﾞﾝｷﾎｰﾃ名古屋本店２階
岐阜ゲームファンタジアン精華店,岐阜県岐阜市鏡島精華2-2-1
ゲームハウスアリババ,岐阜県大垣市池尻町９４０－１
ＧＡＭＥタカラ島　可児店,岐阜県可児市広見字古川２５１９ー１２　
オアシス,岐阜県羽島郡岐南町八剣７－１５
ゲームゾーン各務原店,岐阜県各務原市鵜沼各務原町５－２８６－１ペタルビル１Ｆ
遊食空間XYZ,岐阜県可児市下恵土5670
岐阜レジャーランド穂積店,岐阜県瑞穂市稲里630番地
ラウンドワンモレラ岐阜店,岐阜県本巣市三橋１１００
セガワールド高山,岐阜県高山市上岡本町7-7
セガワールド多治見,岐阜県多治見市住吉町1-1-1
セガマーゴ関,岐阜県関市倉知516番地
三重オークランドシティ津店,三重県津市雲出本郷町１８０５－３３
ゲームチャオ松阪店,三重県松阪市船江町７８０
ドリームキャンディ,三重県伊賀市小田町瓜谷７１１－１
ゲームチャオ名張店,三重県名張市蔵持町原出773-1
アミパラ鈴鹿店,三重県鈴鹿市西条町字東澤430-1
YAZワールド四日市店,三重県四日市市泊小柳町４－３４
アピナ鈴鹿店,三重県鈴鹿市庄野羽山4-20-1イオンタウン鈴鹿2階
ラウンドワンみえ川越インターチェンジ店,三重県三重郡川越町南福崎８５１－１
ラウンドワン津・高茶屋店,三重県津市高茶屋小森町２７７－８
セガ生桑,三重県四日市市生桑町字川原崎299-1
クラブセガアドバンスモール松阪,三重県松阪市田村町235-1
セガワールド桑名,三重県桑名市大仲新田字宮前158番地
セガワールド久居,三重県津市久居明神町字風早2500
クラブセガ名張,三重県名張市希央台３－１５
セガ伊勢,三重県伊勢市中須町666
