【2023年6月28日(水) 14:00更新】,adress
アピナ長岡店,新潟県長岡市堺東町２２
アピナ長野大橋店,長野県長野市若里７−９−１２
アピナ飯田店,長野県飯田市座光寺３７２８−１
アピナ鶴岡店,山形県鶴岡市文下字広野１−１
アミパラがいな店,鳥取県米子市日ノ出町１−８−１３
アミパラここじゃ店,広島県東広島市西条下見６−１０−１９
アミパラテクノランド店,岡山県岡山市北区大和町１−７−１２
アミパラ下関店,山口県下関市長府才川１−４２−４８
アミパラ丸亀店,香川県丸亀市飯野町西分字川縁甲５８４−１　ハローズ棟内
アミパラ佐世保店,長崎県佐世保市大塔町１８−１５
アミパラ倉敷店,岡山県倉敷市西中新田624-1アミパラボウル1F
アミパラ加古川店,兵庫県加古川市尾上町今福７１−２
アミパラ周南久米店,山口県周南市大字久米中央5丁目8番1号　イオンタウン周南久米内
アミパラ垂水店,兵庫県神戸市垂水区名谷町字室山１４００−１８
アミパラ大東店,大阪府大東市南新田２丁目３番５号
アミパラ岡山店,岡山県岡山市北区青江１丁目１３−８
アミパラ広島店,広島県広島市西区西観音町3-17
アミパラ橿原店,奈良県橿原市十市町1222-1ツインゲート橿原１F
アミパラ神辺店,広島県福山市神辺町大字新道上字１−２−１
アミパラ鈴鹿店,三重県鈴鹿市西条町字東澤430-1
アミパラ高知店,高知県南国市篠原１９４−１
アミューズビバ,茨城県ひたちなか市東大島２−１１−１１
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファミービル1F～3F
アミューズメントスペースASO：VIBA！,東京都渋谷区恵比寿1-10-5三恵エビスビル2F
アミューズメントパフェパレパレ田宮店,徳島県徳島市南田宮2丁目2-46
アミューズメントパレスワンダーヴュー成田,千葉県成田市飯仲11-18
アミューズメントパークＭＧキスケ,愛媛県松山市宮田町5-6　キスケボックス内１階
アミューズメントパークＭＧジアス,広島県福山市柳津町１−７−６０
アミューズメントパークＭＧ伊予三島,愛媛県四国中央市中之庄町７５−１　アイランド三島内
アミューズメントパークＭＧ土庄,香川県小豆郡土庄町甲１３６０−１０　マルナカ新土庄店内
アミューズメントパークＭＧ東予,愛媛県西条市周布７１５−１フジ東予店 別棟
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野２−１６−１LCモールうれし野２Ｆ
アミューズメントプラザ　マルシン,愛知県刈谷市池田町4-609
アミューズメントワールドメトロポリス小牧,愛知県小牧市村中新町３３
アミューズメントＣＵＥ奈良三条店,奈良県奈良市三条町478-1
アミューズメントＦＵＮＦＵＮ越谷店,埼玉県越谷市南荻島２７７０−１
アミューズランドモナコ川越店,埼玉県川越市新富町2-4-1
アミューズランドモナコ調布駅前店,東京都調布市布田４−２−２２
イスカンダル木更津店,千葉県木更津市潮見４−１−２
イミグランデ大和店,神奈川県大和市鶴間2-12-27
イミグランデ日吉店,神奈川県横浜市港北区日吉２−２−４
イミグランデ溝口店,神奈川県川崎市高津区溝口１−１４−７　第二カスタムビル1-4F
インターワールド伊勢崎店,群馬県伊勢崎市宮子町3425-4
インターワールド幸手,埼玉県幸手市上高野２１４２‐１
ウェアハウス一橋学園店,東京都小平市学園東町一丁目４番３９号平山ビル３Ｆ
ウェアハウス三橋店,埼玉県さいたま市西区三橋６−９５５−１
ウェアハウス上尾店,埼玉県上尾市二ツ宮１０４４
ウェアハウス保木間店,東京都足立区保木間１−１−１９
ウェアハウス入谷店（ゴルフ）,東京都足立区入谷7-8-14
ウェアハウス南流山店,千葉県流山市南流山４−１６−６
ウェアハウス岩槻店,埼玉県さいたま市岩槻区加倉３−３−６３
ウェアハウス草加店別館,埼玉県草加市稲荷２−３６−３３
エースレーン近江八幡店,滋賀県近江八幡市出町７３６
オークランドボウル春日井,愛知県春日井市鳥居松町３−１１　オークランドボウル１階ゲームコーナー
オートパーラーやすぎ,島根県安来市西荒島町３３番地
キャッツアイ八千代店,千葉県八千代市緑が丘西2丁目13番地3　ｉｓｍ緑ヶ丘内
キャッツアイ宮の沢店,北海道札幌市手稲区西宮の沢５条２丁目１１−１５
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1-7
キャッツアイ東苗穂店,北海道札幌市東区東苗穂6条2丁目1-25
キャッツアイ清田店,北海道札幌市清田区清田１条１−２０−１
キャッツアイ苫小牧駅前店,北海道苫小牧市木場町１丁目3−2
キャロム坂戸店,埼玉県坂戸市関間2-151-1
キャロム所沢店,埼玉県所沢市下安松969-1
キャロム青梅店,東京都青梅市千ケ瀬町4-326-1
ギガステーション戸田店,埼玉県戸田市大字美女木北1-1-12
ゲーム キングジョイ,愛知県名古屋市中区栄3-3-32
ゲームアイビス太子店,兵庫県揖保郡太子町太田2149
ゲームインファンファン藤沢店,神奈川県藤沢市鵠沼石上１−３−８
ゲームコスモ金沢文庫店,神奈川県横浜市金沢区谷津町344
ゲームコング,愛知県豊田市広路町2-20
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
ゲームサファリ大山,東京都板橋区大山東町60-10第3古峯ビル2階
ゲームサファリ池袋,東京都豊島区東池袋1-42-3 安田ビル2F
ゲームシティ川口店,埼玉県川口市栄町1-10-5
ゲームスタジオキューブ高円寺店,東京都杉並区高円寺南4-26-12　福丸ビルB1F
ゲームスポットアップル,富山県魚津市吉島二丁目４０７−１
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内
ゲームパニック新宿歌舞伎町,東京都新宿区歌舞伎町1-20-1　ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階
ゲームパニック甲府,山梨県甲府市国母5-20-24
ゲームパニック秋葉原,東京都千代田区外神田1-13-1　Akihabara ex
ゲームパークＭ１,群馬県前橋市国領町２−１３−６
ゲームピコ鵜沼店,岐阜県各務原市鵜沼西町３丁目３０９　イオンタウン各務原鵜沼内
ゲームファクトリーマグマ草加店,埼玉県草加市氷川町2125-1
ゲームフィールド仙台長町店,宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階
ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内
ゲームフェイス八尾店,大阪府八尾市天王寺屋2-68
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラル
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15
ゲームポイントシャトーＥＸ,大阪府大阪市都島区東野田町３−９−３
ゲームメガつくば店,茨城県つくば市小野崎１７７−２
ゲームメガみらい平店,茨城県つくばみらい市陽光台1-14-1
ゲームメガ日立店,茨城県日立市東多賀町5-10-10
ゲームラボ　サイドセブン,大分県大分市上宗方南１丁目６４９−１
ゲーム・パラダイス,石川県金沢市堀川新町５−１ｱﾐｭｰｽﾞﾒﾝﾄｽｸｴｱ3Ｆ
コスミックプラザABC,大阪府寝屋川市早子町18-14
コミ丸アリババ大垣店,岐阜県大垣市池尻町９４０−１
コムテックスクウェア,愛知県名古屋市中区金山1-16-8
コムテックタワー,愛知県名古屋市中村区名駅４−１０−２０
ゴーゴーバンビーノ,熊本県人吉市下林町１２２番１ニシムタ人吉店食鮮館内
サンゲームス天文館店,鹿児島県鹿児島市千日町５−６
サープラ京都あそびタウン,京都府京都市中京区西ノ京栂尾町107　BiVi二条内2階
サープラ富士あそびタウン,静岡県富士市永田町２−９９
ザ・サードプラネット多摩センター店,東京都多摩市落合１−４１−１マグレブウェスト１階・２階
シルクハット伊勢佐木町,神奈川県横浜市中区伊勢佐木町３—９６日活会館３階
シルクハット八王子,東京都八王子市旭町２−５　八王子ツインタワービル３階
シルクハット大森,東京都大田区山王２−4−１　大森駅前ビル2階
シルクハット大船,神奈川県鎌倉市大船１−２４　大船駅前ビル１〜３Ｆ
シルクハット川口,埼玉県川口市栄町３−１−１６イート川口ビル４Ｆ
シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町８番地ダイスビル地下２階
シルクハット川崎モアーズ,神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ１・２階
シルクハット本厚木,神奈川県厚木市中町３−４−２２第二会田ビル２階
シルクハット横須賀中央,神奈川県横須賀市若松町１−５　横須賀プライム２階
シルクハット津田沼,千葉県習志野市津田沼１−２−１十三ビル地下１階
シルクハット蒲田西口,東京都大田区西蒲田７−２−３第二醍醐ビル地下１階〜２階
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町７−３
ジョイプラザ豊岡店,兵庫県豊岡市加広町７−３２コープデイズ豊岡2階
ジョイランドアミューズ諏訪店,静岡県沼津市大諏訪２０−２
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-2宇都宮フェスタ2F
スタジオプリモ山形店,山形県山形市城南町１−１−１　霞城セントラル２Ｆ
スタジオプリモ本八幡店,千葉県市川市八幡2-15-10　パティオ本八幡5F
スタジオプリモ水戸店,茨城県水戸市宮町１−２−４マイムビル１F
スタジオプリモ沼津,静岡県沼津市大手町３−４−１沼津ラクーン3Ｆ
スペースV1廿日市店,広島県廿日市市本町４−２３
スポラ九品寺,熊本県熊本市中央区九品寺5丁目10-15
スポラ菊陽,熊本県菊池郡菊陽町津久礼駄飼代２６１７−２
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼町697番地
スポーツセンター　２１世紀,大阪府堺市南区岩室108-1
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７イオン仙台中山別館３Ｆ
スーパーノバ仙台一番町,宮城県仙台市青葉区一番町４丁目５番１３号サンシャインビル１階
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５−１
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
スーパーノバ天童,山形県天童市南町1-5-26
スーパーノバ福島,福島県福島市黒岩字中島7-2
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８−１イオン三川１Ｆ
ソユーゲームフィールド上大岡店,神奈川県横浜市港南区上大岡西１−１８−３　ミオカリスト館６階
ソユーゲームフィールド天童店,山形県天童市芳賀タウン北４−１−１ イオンモール天童２Ｆ
ソユーゲームフィールド小名浜店,福島県いわき市小名浜字辰巳町７９イオンモールいわき小名浜３Ｆ
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F
ソユーゲームフィールド木更津店,千葉県木更津市築地１−４イオンモール木更津２F
ソユーゲームフィールド泉南店,大阪府泉南市りんくう南浜３番１２イオンモールりんくう泉南２Ｆ
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1番1号　イオン札幌発寒3F
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1ｲｵﾝﾓｰﾙ盛岡南1F
ソユーゲームフィールド菖蒲店,埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ
ソユーゲームフィールド釜石店,岩手県釜石市港町２−１−１イオンタウン釜石店３F
ソユースペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８−６　銀河モール花巻内
ソユーファミリーゲームフィールド防府店,山口県防府市鐘紡町７−１イオンタウン防府1F
ソユーフォレストハンター松前店,愛媛県伊予郡松前町筒井８５０エミフルMASAKIＡＭ棟１階
タイトーFステーション向ヶ丘遊園店,神奈川県川崎市多摩区登戸2718-1
タイトーFステーション柏中央,千葉県柏市十余二２４９－５
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１−１
タイトーステーション 小田原店,神奈川県小田原市栄町１−３−１２
タイトーステーション 所沢店,埼玉県所沢市日吉町３−７
タイトーステーション 柏店,千葉県柏市柏２−３−１フーサワビル
タイトーステーション 池袋西口店,東京都豊島区西池袋１−１５−９第一西池ビル
タイトーステーション 渋谷店,東京都渋谷区渋谷１−２４−１２渋谷東映プラザ
タイトーステーション 町田店,東京都町田市原町田６−２１−２３　松山ビル１階
タイトーステーション 秋葉原店,東京都千代田区外神田４−２−２貴三ビル
タイトーステーション 船橋店,千葉県船橋市本町１−６−１
タイトーステーション 藤沢店,神奈川県藤沢市南藤沢２１−１
タイトーステーション 金沢店,石川県金沢市片町２−１−７宇都宮片町ビル　1F
タイトーステーション 難波店,大阪府大阪市中央区難波千日前１５−１２
タイトーステーションフェドラ大須店,愛知県名古屋市中区大須３−３０−３１萬松寺駐車場ビル1階・2階
タイトーステーション上野御徒町店,東京都台東区上野４−６−９湯島商事ビル
タイトーステーション仙台名掛丁店,宮城県仙台市青葉区中央１−７−１３
タイトーステーション国分寺店,東京都国分寺市本町３−５−１１
タイトーステーション大阪日本橋店,大阪府大阪市浪速区日本橋４−９−１４
タイトーステーション広島本通店,広島県広島市中区本通３−５せらかぐ本通ビル
タイトーステーション広島紙屋町店,広島県広島市中区紙屋町２−２−２１
タイトーステーション戸塚西口店,神奈川県横浜市戸塚区戸塚町４０２３
タイトーステーション新宿東口店,東京都新宿区新宿３−２２−７　指田ビル
タイトーステーション新浜松ザザシティ店,静岡県浜松市中区鍛冶町１５サザンシティ西館２Ｆ
タイトーステーション札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４
タイトーステーション横浜西口五番街店,神奈川県横浜市西区南幸１−１２ー９　7階
タイトーステーション海老名ビナウォーク店,神奈川県海老名市中央１−１８−１　ビナウォーク６番館２Ｆ
タイトーステーション溝の口,神奈川県川崎市高津区溝口１−１１−８ＯＫＫＡ６３４ビル３階
タイトーステーション福岡天神店,福岡県福岡市中央区天神２−６−３５サザンクロスビル
タイトーステーション立川北口店,東京都立川市曙町２−４−５　OSJ　TACHIKAWA
タイトーステーション錦糸町楽天地店,東京都墨田区江東橋４−２７−１４楽天地ビルＢ１Ｆ
タイトーステーションＢＩＧＦＵＮ平和島店,東京都大田区平和島１丁目１−１ＢＩＧＦＵＮ平和島3F
タイトー新宿南口ゲームワールド店,東京都新宿区新宿３−３５−８
タイトーＢＩＧＢＯＸ高田馬場店,東京都新宿区高田馬場１−３５−３　ＢＩＧＢＯＸ６Ｆ
タイトーＦステーションイオン近江八幡店,滋賀県近江八幡市鷹飼町南３丁目3-7イオン内1F
タイトーＦステーションオリナス錦糸町店,東京都墨田区太平4-1-2オリナスモール地下1F
タイトーＦステーションクレアモール川越店,埼玉県川越市新富町２−１−１３　本川越SSビル1-4F
タイトーＦステーションダイエー大宮店,埼玉県さいたま市大宮区桜木町２丁目３番地
タイトーＦステーションニシムタ出水店,鹿児島県出水市六月田町３４７番地
タイトーＦステーション三宮西館店,兵庫県神戸市中央区三宮町２丁目１１−１センタープラザ西館3F7
タイトーＦステーション上越店,新潟県上越市富岡3524 J-MAXシアター内1F
タイトーＦステーション吉祥寺ＪＯＹ店,東京都武蔵野市吉祥寺本町１丁目８‐２３　河田ビル
タイトーＦステーション小山店,栃木県小山市喜沢1475-52　おやまゆうえんハーヴェストウォーク内
タイトーＦステーション山口メルクス店,山口県山口市大字黒川８２−１ハイパーモールメルクス内
タイトーＦステーション市川妙典店,千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F
タイトーＦステーション静岡,静岡県静岡市葵区呉服町２−５−４　ふしみや第２ビル
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５−１
チャリオット五井店,千葉県市原市五井中央西２−１−２
チャリオット辰巳店,千葉県市原市市原500-1
ディノスパーク室蘭,北海道室蘭市東町4丁目31番3号
ディノスパーク帯広,北海道帯広市白樺16条西2丁目ドリームタウン白樺内
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目西友手稲店3F
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号イオンモール苫小牧内
トップラン,兵庫県神戸市西区岩岡町古郷1474-1
トップラン東大阪店,大阪府東大阪市東鴻池町1-6-30　イオンタウン東大阪２F
トヤマレジャーランド呉羽店,富山県富山市高木字貝塚2054
トライセン中津店,大分県中津市下池永６７−３
トライセン萩原,大分県大分市萩原４−２２７−７
ドットコム葛西,東京都江戸川区中葛西３−３５−５
ドラマ八王子高倉店,東京都八王子市高倉町55-4
ドラマ港北インター店,神奈川県横浜市都筑区東方町321-6
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵382-1
ドラマ藤沢店,神奈川県藤沢市本藤沢5-6-8
ドラマ足利店,栃木県足利市朝倉町244-1
ドリームキャンディ,三重県伊賀市小田町７１１−１
ネオＡＭスペースａ−ｃｈｏ,京都府京都市中京区東大文字町３０２・３０３A-breakﾋﾞﾙ2F・3F
ハイテクランドキューデン,東京都足立区西新井栄町2-7-2　2階
ハイパーメッセ,福岡県北九州市小倉南区北方4-6-7
バイパスレジャーランド加賀店,石川県加賀市箱宮町ヲ1-1
バイパスレジャーランド藤江新館,石川県金沢市藤江南2-105
バイパスレジャーランド藤江本館,石川県金沢市藤江南2-41
パスカワールドグリーンランド店,熊本県荒尾市本井手１５７４−５４
パルケ上賀茂店,京都府京都市北区上賀茂西河原１−１
ビデオゲームミュージアムロボット深谷店,埼玉県深谷市上柴町西４−１２−１
ピンクパンサー下妻店,茨城県下妻市小島884-10
ピンクパンサー土浦店,茨城県土浦市木田余４５８５−３
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町3276-1
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1
ファンタジスタ,岡山県倉敷市新倉敷駅前５−１９４
ファンタジープラザ名古屋,愛知県名古屋市北区玄馬町２３４−１MEGAﾄﾞﾝ・ｷﾎｰﾃ名古屋本店クロスタウン２階
フォルム武蔵境,東京都武蔵野市境南町２−７−２０ダイヤパレス第２　１階
フクイレジャーランドワイプラザ店,福井県福井市新保北1-303　ヤスサキワイプラザＢ棟2Ｆ
フタバ図書アルティランド,広島県広島市西区草津南４−７−１　アルパーク北棟２Ｆ
フタバ図書ＧＩＧＡ春日店,福岡県春日市昇町8-1-1
フリスポ佐原,千葉県香取市佐原イ-4200
フレスパランドカッタの湯,山口県宇部市海南町1675
プレイステーションネーブル西宮店,兵庫県西宮市両度町6-10
プレイランドキング円町店,京都府京都市中京区西ノ京西円町40
プレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70いとくアクロス能代店内
プレビ　アリオ橋本店,神奈川県相模原市緑区大山町１−２２アリオ橋本店２階プレビプレイランド
プレビ　トナリエ四日市,三重県四日市市安島１−３−３１トナリエ四日市店５階プレビアミューズメント
ベネクス大和店,神奈川県大和市下鶴間2752-2
ベネクス川崎,神奈川県川崎市川崎区鋼管通り４−８−３
ベネクス川越店,埼玉県川越市大仙波340-1
ベネクス平塚店,神奈川県平塚市四宮６−１０−２７
ペップ魚町,福岡県北九州市小倉北区魚町２−４−２０
ポート２４浜松店,静岡県浜松市西区坪井町4183-1
マキシム・ヒーロー,北海道札幌市北区北六条西6丁目1-1　鉄道高架下
マトリクス前橋,群馬県前橋市小相木町５５８−１
ミラクルイン中村橋,東京都練馬区貫井１−１−２ＹＫビル２Ｆ
ムトス相模原店,神奈川県相模原市中央区中央2-1-5 ムトス内
メジャーロード24,新潟県見附市今町4-20-568-1
メジャーロード黒埼,新潟県新潟市西区山田３３０３番地
モンキートリック,大阪府寝屋川市香里南之町32-5　YNレジデンス香里2F
ユーズボウル久留米,福岡県久留米市東櫛原町字深町１１１０
ユーズランド三光店,大分県中津市三光佐知1032イオンモール三光2F
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田内１Ｆ
ユーズランド和歌山店,和歌山県和歌山市中字楠谷５７３イオンモール和歌山２Ｆ
ユーズランド太田店,群馬県太田市石原町８１番地イオンモール太田２Ｆ
ユーズランド日の出店,東京都西多摩郡日の出町平井三吉野桜木237-3イオンモール日の出３Ｆ
ユーズランド春日部店,埼玉県春日部市下柳４２０−１イオンモール春日部２Ｆ
ユーズランド東浦店,愛知県知多郡東浦町緒川旭１３−２イオンモール東浦２Ｆ
ユーズランド水戸内原店,茨城県水戸市内原２−１イオンモール水戸内原２Ｆ
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F
ユーズランド高岡店,富山県高岡市下伏間江３８３イオンモール高岡２Ｆ
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町金久保周川３９４－１
ラウンドワンさいたま・栗橋店,埼玉県久喜市小右衛門１９２－１
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３－７
ラウンドワンみえ川越インターチェンジ店,三重県三重郡川越町南福崎大正割８５１－１
ラウンドワンららぽーと和泉店,大阪府和泉市あゆみ野4-4-7ららぽーと和泉４階４２１００番
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ３－１－１ららぽーと新三郷２Ｆ
ラウンドワンららぽーと湘南平塚店,神奈川県平塚市天沼１０－１ららぽーと湘南平塚店３Ｆ
ラウンドワンわらび店,埼玉県蕨市北町５－１－６
ラウンドワンアリオ柏店,千葉県柏市大島田１－６－１セブンパークアリオ柏１０７０
ラウンドワンダイバーシティ東京プラザ店,東京都江東区青海１－１－１０ダイバーシティ東京プラザ６Ｆ
ラウンドワンモレラ岐阜店,岐阜県本巣市三橋１１００
ラウンドワン三宮駅前店,兵庫県神戸市中央区小野柄通６－１－１７
ラウンドワン上尾店,埼玉県上尾市平塚９１７－１
ラウンドワン中川１号線店,愛知県名古屋市中川区法蔵町２－２３
ラウンドワン京都伏見店,京都府京都市伏見区下鳥羽平塚町１３１
ラウンドワン京都河原町店,京都府京都市中京区山崎町250番地
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１－７－１０
ラウンドワン伊丹店,兵庫県伊丹市昆陽７－２９
ラウンドワン佐賀店,佐賀県佐賀市兵庫町藤木１１１０
ラウンドワン入間店,埼玉県入間市小谷田３－７－２５
ラウンドワン函館店,北海道函館市西桔梗町８４８－１
ラウンドワン前橋店,群馬県前橋市天川大島町１１０１－１
ラウンドワン加古川店,兵庫県加古川市尾上町安田３２５－６
ラウンドワン千日前店,大阪府大阪市中央区難波１－３－１
ラウンドワン千種店,愛知県名古屋市千種区新栄3-20-17タイホー千種駅南ビル８Ｆ
ラウンドワン半田店,愛知県半田市瑞穂町６－７－８
ラウンドワン南砂店,東京都江東区南砂６－７－１５トピレックプラザ４Ｆ
ラウンドワン博多半道橋店,福岡県福岡市博多区半道橋２－２－８
ラウンドワン吉祥寺店,東京都武蔵野市吉祥寺本町1-11-22
ラウンドワン名古屋西春店,愛知県北名古屋市宇福寺神明１５
ラウンドワン和歌山店,和歌山県和歌山市小雑賀７３９－３
ラウンドワン城東放出店,大阪府大阪市城東区今福南３－４－３８
ラウンドワン堺中央環状店,大阪府堺市東区石原町２－２４１
ラウンドワン堺駅前店,大阪府堺市堺区戎島町４－４４－３
ラウンドワン大分店,大分県大分市萩原２－１３－１７
ラウンドワン大宮店,埼玉県さいたま市大宮区宮町４－９０－７
ラウンドワン大野城店,福岡県大野城市御笠川１－１８－１６
ラウンドワン奈良・ミナーラ店,奈良県奈良市二条大路南１－３－１ミ・ナーラ５階
ラウンドワン姫路飾磨店,兵庫県姫路市飾磨区中島１－２５４
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２－１
ラウンドワン守口店,大阪府守口市佐太東町２－６－１４ジャガーグリーン２階
ラウンドワン宮崎店,宮崎県宮崎市中村東３－４－６０
ラウンドワン富士店,静岡県富士市八代町４－１５
ラウンドワン小倉店,福岡県北九州市小倉北区西港町１５－６５
ラウンドワン山梨・石和店,山梨県笛吹市石和町広瀬７３７－１
ラウンドワン岡山妹尾店,岡山県岡山市南区妹尾３４１３－１
ラウンドワン岸和田店,大阪府岸和田市八阪町２－１１－１
ラウンドワン川崎大師店,神奈川県川崎市川崎区殿町１－５－１
ラウンドワン市原店,千葉県市原市八幡北町３－５－１
ラウンドワン市川鬼高店,千葉県市川市鬼高４－１－３
ラウンドワン広島店,広島県広島市中区立町３－１１
ラウンドワン府中本町駅前,東京都府中市本町１－１３－３カネタビル
ラウンドワン徳島・万代店,徳島県徳島市万代町４－１９－１
ラウンドワン所沢店,埼玉県所沢市東町5-22 所沢トコトコスクエア 6階
ラウンドワン新潟店,新潟県新潟市中央区美咲町２－１－３８
ラウンドワン旭川店,北海道旭川市永山三条１－４－７
ラウンドワン朝霞店,埼玉県朝霞市膝折町２－１６－１０
