
ACT草津ACTION,滋賀県草津市野路町1161-1
ゲームセンタートップラン東大阪店,大阪府東大阪市東鴻池町１−６−３０イオンタウン東大阪店２Ｆ
ゲームセンターＷＩＬＬ　ＷＧＣ,東京都立川市羽衣町２−４−１３羽衣長田ビル１０１ＷＧＣ
ゲームソニックビーム松戸,千葉県松戸市松戸1172-1
ゲームチャオ松阪店,三重県松阪市船江町７８０
ゲームディーノ彦根店,滋賀県彦根市西沼波町１６６
ゲームディーノ阪急茨木店,大阪府茨木市永代町５ ソシオビルＢ１
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200
ゲームパニック堺,大阪府堺市堺区築港八幡町1番地堺浜ｼｰｻｲﾄﾞｽﾃｰｼﾞ内堺浜ｴﾝﾀﾒ館
ゲームパニック新宿歌舞伎町,東京都新宿区歌舞伎町1-20-1　ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階2階
ゲームパニック甲府,山梨県甲府市国母5-20-24
ゲームパニック秋葉原,東京都千代田区外神田1-13-1　Akihabara ex
ゲームファクトリーマグマ草加店,埼玉県草加市氷川町2125-1
ゲームファンタジアン岡崎店,愛知県岡崎市錦町２−４
ゲームファンタジアン柳津店,岐阜県岐阜市柳津町上佐波西3-68
ゲームフィールド仙台長町店,宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階
ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内
ゲームフィールド弘前樋の口店,青森県弘前市樋の口二丁目９−６イオンタウン弘前樋の口店
ゲームフィールド鷹巣店,秋田県北秋田市栄字前綱76　いとく鷹巣SC内
ゲームフェイス八尾店,大阪府八尾市天王寺屋2-68
ゲームフェスタミタマ店,青森県弘前市駅前町5-5
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラル
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15
ゲームメガつくば店,茨城県つくば市小野崎１７７−２
ゲームラボ　サイドセブン,大分県大分市上宗方南１丁目６４９−１
ゲームランドちはら台店,千葉県市原市ちはら台西３−４ｕｎｉｍｏちはら台２Ｆ
ゲームランド千葉ニュータウン店,千葉県印西市中央北３丁目　イオンモール　千葉ＮＴモール棟３Ｆ
ゲームランド岡崎店,愛知県岡崎市戸崎町字外山３８−５イオンモール岡崎　シネコン棟
ゲームランド新さっぽろ,北海道札幌市厚別区中央２条５丁目７−３ カテプリさっぽろ３階
ゲームランド津田沼店,千葉県習志野市津田沼１−２３−１イオンモール津田沼２Ｆ
ゲームランド草津店,滋賀県草津市新浜町３００番地イオンモール草津３階
コムテックスクウェア,愛知県名古屋市中区金山1-16-8
コムテックタワー,愛知県名古屋市中村区名駅４−１０−２０
コムテックプラザ赤池,愛知県日進市赤池１−２９０１
ザ・サードプラネット多摩センター店,東京都多摩市落合１−４１−１マグレブウェスト１階・２階
シネパーク広,広島県呉市広中町１−９
シルクハット　伊勢佐木町,神奈川県横浜市中区伊勢佐木町３—９６日活会館３階
シルクハット　八王子,東京都八王子市旭町２−５　八王子ツインタワービル３階
シルクハット　大船,神奈川県鎌倉市大船１−２４　大船駅前ビル１〜３Ｆ
シルクハット　川口,埼玉県川口市栄町３−１−１６イート川口ビル４Ｆ
シルクハット　川崎ダイス,神奈川県川崎市川崎区駅前本町８番地ダイスビル地下２階
シルクハット　横須賀中央,神奈川県横須賀市若松町１−５プライムビル２階
シルクハット　津田沼,千葉県習志野市津田沼１−２−１十三ビル地下１階
シルクハット　蒲田西口,東京都大田区西蒲田７−２−３第二醍醐ビル地下１階〜２階
シルクハット川崎モアーズ,神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ１・２階
シルクハット本厚木,神奈川県厚木市中町３−４−２２第二会田ビル２階
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町７−３
ジョイランドアミューズみしま,静岡県三島市梅名３０８−６
ジョイランドアミューズ諏訪店,静岡県沼津市大諏訪２０−２
ジーパラ出雲,島根県出雲市渡橋町７８４−１
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8宇都宮フェスタ1F
スタジオプリモ山形店,山形県山形市城南町１−１−１　霞城セントラル２Ｆ
スタジオプリモ本八幡店,千葉県市川市八幡２－１５－１０パティオ５階
スタジオプリモ水戸店,茨城県水戸市宮町１−２−４マイム１F
スタジオプリモ沼津店,静岡県沼津市大手町３−４−１沼津ラクーン５Ｆ
スターフィールド,新潟県長岡市新組町2003番地1
スペースV1廿日市店,広島県廿日市市本町４−２３
スポラ九品寺,熊本県熊本市中央区九品寺5丁目10-15
スポラ菊陽,熊本県菊池郡菊陽町津久礼駄飼代２６１７−２
スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697番地
スポーツセンター　２１世紀,大阪府堺市南区岩室108-1
スーパーウェーブ静岡,静岡県静岡市清水区鳥坂８６０
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５−１
スーパーノバ天童,山形県天童市南町1-5-26
スーパービバホーム新習志野店２階,千葉県習志野市茜浜１−１−２　スーパービバホーム２Ｆ
セガつかしん,兵庫県尼崎市塚口本町4-8-1つかしん内
セガみらい長崎ココウォーク,長崎県長崎市茂里町1-55みらい長崎ココウォーク5F
セガららぽーとTOKYO−BAY,千葉県船橋市浜町2-1-1北館1F
セガアミュプラザみやざき,宮崎県宮崎市老松２丁目２番２２号アミュプラザみやざき　うみ館
セガアリーナ中間,福岡県中間市上蓮花寺3-1-1
セガアリーナ蘇我,千葉県千葉市中央区川崎町51-1ハーバーシティ蘇我FW AM棟1F
セガアルプラザ金沢,石川県金沢市諸江町30-1
セガイオンモール岡山,岡山県岡山市北区下石井1-2-1ｲｵﾝﾓｰﾙ岡山6F　
セガイオンモール木曽川,愛知県一宮市木曽川町黒田八ヶ池25-1　イオンモール木曽川3F
セガイト—ヨーカドー古淵,神奈川県相模原市南区古淵3-13-33 イトーヨーカドー3F
セガエイスクエア草津,滋賀県草津市西渋川1-23-23エイスクエアSARA南館2階
セガコロワ甲子園,兵庫県西宮市甲子園高潮町3−3Crowa甲子園3F
セガセンター南,神奈川県横浜市都筑区茅ヶ崎中央３−２５
セガビバモール寝屋川,大阪府寝屋川市寝屋南2-22-2ビバモール寝屋川 モール棟2F
セガフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町6-1フェニックスプラザ1F
セガプライムツリー赤池,愛知県日進市赤池町箕ノ手1番
セガマーゴ関,岐阜県関市倉知516
セガミスト２,大阪府大阪市北区梅田１−１１−４駅前第４ビルＢ１Ｆ
セガワールドサンスパおおむら,長崎県大村市森園町663-3
セガワールドフジグラン,高知県高知市朝倉東町52-15 フジグラン高知3F
セガワールド六地蔵,京都府京都市伏見区桃山町山ノ下32京都SCビルAM棟2F
セガワールド勿来,福島県いわき市勿来町四沢字鍵田13
セガワールド和泉,大阪府和泉市肥子町2-4-41
セガワールド宇品,広島県広島市南区宇品西3-4フタバ図書GIGA宇品店内
セガワールド宇都宮,栃木県宇都宮市東宿郷5-1-7
セガワールド布施,大阪府東大阪市長堂1-1-1ロンモール布施内
セガワールド成田,千葉県成田市東町157-5
セガワールド松原,大阪府堺市東区八下町3-10
セガワールド枚方,大阪府枚方市須山町83-1サンシャインプラザ枚方内
セガワールド福山,広島県福山市瀬戸町大字山北300
セガワールド米子,鳥取県米子市両三柳2778-2
セガワールド葛西,東京都江戸川区東葛西9-3-3イトーヨーカドー3F
セガワールド豊科,長野県安曇野市豊科南穂高1115
セガワールド高城,大分県大分市牧1-161-8
セガワールド高山,岐阜県高山市上岡本町7-7
セガワールドＭＥＧＡ,広島県広島市安佐南区中筋4-11-7
セガ上田,長野県上田市大字上田1847-1
セガ丸亀,香川県丸亀市蓬莱町56-1
セガ今福,大阪府大阪市城東区今福東1-9-34
セガ倉敷,岡山県倉敷市西中新田535-2
セガ南町田ＧＢＰシアター,東京都町田市鶴間３−４−１ワンダーシアター１階Ｈ１０３区画
セガ多治見,岐阜県多治見市住吉町1-1-1
セガ小田原ダイナシティ,神奈川県小田原市中里296-1 ダイナシティイーストモール3F
セガ小郡,山口県山口市小郡前田町3-6ロックタウン
セガ尾道,広島県尾道市新浜1-2-13
セガ幕張,千葉県千葉市美浜区ひび野1-8メッセ・アミューズ・モール１Ｆ
セガ庄内,山形県東田川郡三川町猪字大堰端３２６番地６
セガ延岡,宮崎県延岡市平原町5-1492-8
セガ徳島スエヒロボウル,徳島県徳島市南末広町4-95-2
セガ新三国アルゴ７,大阪府豊中市神州町1-15
セガ明石,兵庫県明石市魚住町清水2464-1
セガ東大阪,大阪府東大阪市稲田新町3-9-64
セガ松山,愛媛県松山市枝松5-7-32
セガ松江,島根県松江市嫁島町12-15
セガ武雄,佐賀県武雄市武雄町富岡12517-1
セガ海田,広島県安芸郡海田町南大正町3-35
セガ海老名,神奈川県海老名市中央一丁目４番３１号海老名プラザビル１階
セガ甲西,滋賀県湖南市夏見字二ツ橋356-1
セガ静岡,静岡県静岡市葵区七間町4番地
セガ高松,香川県高松市勅使町535
セガ鳥取,鳥取県鳥取市安長416
ソニックワールド大村店,長崎県大村市古賀島町３８３−１
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８−１イオン三川１Ｆ
ソユーゲームフィールド上大岡店,神奈川県横浜市港南区上大岡西１−１８−３　ミオカリスト館６階
ソユーゲームフィールド八戸店,青森県八戸市沼館4-7-112八戸ピアドゥＢ棟2F
ソユーゲームフィールド天童店,山形県天童市芳賀タウン北４−１−１ イオンモール天童２Ｆ
ソユーゲームフィールド小名浜店,福島県いわき市小名浜字辰巳町７９イオンモールいわき小名浜３Ｆ
ソユーゲームフィールド川口店,埼玉県川口市並木元町１−７９　アリオ川口３Ｆ
ソユーゲームフィールド新発田店,新潟県新発田市住吉町５丁目１１番５号　イオンモール新発田２Ｆ
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F
ソユーゲームフィールド木更津店,千葉県木更津市築地１−４イオンモール木更津２F
ソユーゲームフィールド泉南店,大阪府泉南市りんくう南浜３番１２イオンモールりんくう泉南２Ｆ
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1　イオン札幌発寒SC3F
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1ｲｵﾝﾓｰﾙ盛岡南1F
ソユーゲームフィールド苗穂店,北海道札幌市東区東苗穂2条3-1-1　イオンモール札幌苗穂２Ｆ
ソユーゲームフィールド菖蒲店,埼玉県久喜市菖蒲町菖蒲６００５番地１　モラージュ菖蒲３Ｆ
ソユーゲームフィールド釜石店,岩手県釜石市港町２−１−１イオンタウン釜石店３F
ソユーゲームフィールド長野店,長野県長野市三輪９−４３−２４イオンタウン長野三輪店
