TFSトナリエ宇都宮,栃木県宇都宮市駅前通り１丁目４番６号トナリエ宇都宮
ＧｉＧＯ大森,東京都大田区山王２−１−５大森駅ララビル２Ｆ
ＧｉＧＯ太田,群馬県太田市西矢島町５７５−１
ＧｉＧＯ安城,愛知県安城市百石町２−３５−１３
ＧｉＧＯ小名浜,福島県いわき市小名浜林城字塚前１８−１
ＧｉＧＯ小山,栃木県小山市東城南１−１−１８
ＧｉＧＯ尾西,愛知県一宮市篭屋３−９−７アソビックスびさい１Ｆ
ＧｉＧＯ岡崎,愛知県岡崎市上地３−５０−４
ＧｉＧＯ岡谷,長野県岡谷市塚間町２−１−２１
ＧｉＧＯ川口,埼玉県川口市東領家２−２−１０
ＧｉＧＯ幕張,千葉県千葉市美浜区ひび野１−８メッセ・アミューズ・モール１Ｆ
ＧｉＧＯ広,広島県呉市広中町１−９
ＧｉＧＯ府中,東京都府中市西原町１−６−２フレスポ府中１Ｆ・２Ｆ
ＧｉＧＯ弘前,青森県弘前市末広１−３−３
ＧｉＧＯ所沢,埼玉県所沢市日吉町８−１
ＧｉＧＯ掛川,静岡県掛川市細田２４８
ＧｉＧＯ新宿歌舞伎町,東京都新宿区歌舞伎町１−２１ー１第二東亜会館１階・２階
ＧｉＧＯ日光,栃木県日光市芹沼１４４８−１
ＧｉＧＯ日和田,福島県郡山市日和田町字西中島７−１
ＧｉＧＯ日立,茨城県日立市田尻町３−２６−１
ＧｉＧＯ旭,千葉県旭市二字野場３１５０−１
ＧｉＧＯ明石,兵庫県明石市魚住町清水２４６４−１
ＧｉＧＯ春日井,愛知県春日井市岩野町４１８０
ＧｉＧＯ本厚木,神奈川県厚木市中町４−１５−９
ＧｉＧＯ東名ボール,愛知県瀬戸市西原町２−１１４
ＧｉＧＯ松本,長野県松本市渚１−７−１なぎさライフサイト内
ＧｉＧＯ松江,島根県松江市嫁島町１２−１５
ＧｉＧＯ枚方,大阪府枚方市須山町８３−１サンシャインプラザ枚方内
ＧｉＧＯ武生,福井県越前市新町３−１３−４
ＧｉＧＯ水戸,茨城県水戸市宮町１−７−４４コムボックス３１０
ＧｉＧＯ水戸南,茨城県水戸市千波町２０１７−１
ＧｉＧＯ水沢,岩手県奥州市水沢区佐倉河字鎧田４−１
ＧｉＧＯ池上,東京都大田区池上６−２−３松山ビル２Ｆ
ＧｉＧＯ海老名,神奈川県海老名市中央一丁目４番３１号海老名プラザビル１階
ＧｉＧＯ生桑,三重県四日市市生桑町字川原崎２９９−１
ＧｉＧＯ甲西,滋賀県湖南市夏見字二ツ橋３５６−１
ＧｉＧＯ町田,東京都町田市原町田６−１３ー１７アーバンミサワビルＢ１
ＧｉＧＯ白河,福島県白河市新高山１−１　メガステージ白河内
ＧｉＧＯ石岡,茨城県石岡市東大橋中峯１９７６−１
ＧｉＧＯ石巻,宮城県石巻市大街道東４−１−４５
ＧｉＧＯ神戸ｕｍｉｅサウスモール,兵庫県神戸市中央区東川崎町１ー７−２ダイヤニッセイビル４Ｆ
ＧｉＧＯ神楽坂,東京都新宿区神楽坂２−１１第２カグラヒルズ１Ｆ
ＧｉＧＯ福島,福島県福島市本内中井１−２
ＧｉＧＯ福生,東京都福生市福生１０７６−１
ＧｉＧＯ秋田,秋田県秋田市茨島１−１−１６
ＧｉＧＯ稲毛オーツーパーク,千葉県千葉市稲毛区園生町３８０−１
ＧｉＧＯ竹の塚,東京都足立区竹の塚６−８−６ピーくんＰｌａｚａ−ｂ
ＧｉＧＯ籠原,埼玉県熊谷市美土里町１−１−１６９
ＧｉＧＯ米沢,山形県米沢市大字花沢字タナコ原１７７
ＧｉＧＯ綱島,神奈川県横浜市港北区綱島西２−６−２９
ＧｉＧＯ自由が丘,東京都目黒区自由が丘２ー１０ー９
ＧｉＧＯ船堀,東京都江戸川区船堀１ー６ー１１
ＧｉＧＯ花園,埼玉県深谷市荒川３５９
ＧｉＧＯ袋井,静岡県袋井市川井１１４２−１
ＧｉＧＯ西葛西,東京都江戸川区西葛西５−１−１４第一保志ビル
ＧｉＧＯ西那須野,栃木県那須塩原市南郷屋２−１０６−２７
ＧｉＧＯ豊橋飯村,愛知県豊橋市飯村町字西山２５−１２１
ＧｉＧＯ豊田,愛知県豊田市深田町１−６５−１
ＧｉＧＯ赤羽,東京都北区赤羽１−７−９赤羽第一葉山ビルＢ１
ＧｉＧＯ赤羽駅前,東京都北区赤羽１−２−４
ＧｉＧＯ霞ヶ浦,茨城県稲敷市西代１４７３−１
ＧｉＧＯ館林,群馬県館林市小桑原町９４９−１
ＧｉＧＯ龍ケ崎,茨城県龍ケ崎市藤ケ丘４−２−８
ＧｉＧＯＭＯＭＯテラス京都伏見,京都府京都市伏見区桃山町山ノ下３２京都ＳＣビルＡＭ棟２Ｆ
ＪＯＹＬＡＮＤ敦賀店,福井県敦賀市木崎４０号土三田１２番
ＭＩＲＡＩＮＯイオンモール白山店,石川県白山市横江町土地区画整理事業施行地区内１衛区１番地
ＳＯＹＵＧａｍｅＦｉｅｌｄ大館店,秋田県大館市御成町三丁目７番５８号いとく大館ＳＣ３階
ｎａｍｃｏイオンモール名取店,宮城県名取市杜せきのした5-3-1イオンモール名取2F
ｎａｍｃｏウイングベイ小樽店,北海道小樽市築港１１−５ウィングベイ小樽５番街３階
ｎａｍｃｏフジグラン北宇和島店,愛媛県宇和島市伊吹町甲９１２番地２フジグラン北宇和島店別棟
ｎａｍｃｏモラージュ佐賀店,佐賀県佐賀市巨勢町大字牛島７３０モラージュ佐賀南館１Ｆ
ｎａｍｃｏ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル
