shop,adress,map
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　Ｐ・Ａ・Ｐ・Ａ上尾ＳＣ別棟,"35.98824657086851 139.58082229811703"
ラウンドワン上尾店,埼玉県上尾市大字平塚９１７−１,"35.98573208623946 139.60784023306576"
ウェアハウス上尾店,埼玉県上尾市二ツ宮１０４４,"35.9812984 139.5998607"
インターワールド幸手,埼玉県幸手市上高野２１４２‐１,"36.0570018 139.7143543"
ゲームファクトリーマグマ草加店,埼玉県草加市氷川町2125-1,"35.8282375 139.8025135"
ウェアハウス草加店別館,埼玉県草加市稲荷２−３６−３３,"35.82988312095263 139.82058531282803"
ラウンドワン草加店,埼玉県草加市谷塚上町２０４番１,"35.8124210975572 139.78790271534422"
ＧｉＧＯ南越谷ラクーン,埼玉県越谷市南越谷１丁目１５番１号南越谷ラクーン２Ｆ,"35.8750206 139.7931848"
アミューズメントＦＵＮＦＵＮ越谷店,埼玉県越谷市南荻島２７７０−１,"35.9128551 139.7712022"
ウェアハウス越谷店,埼玉県越谷市南荻島８４１−１,"35.9119605 139.7637724"
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2イオンレイクタウンKAZE3F,"35.8778002 139.8245962"
ＧｉＧＯ籠原,埼玉県熊谷市美土里町１−１−１６９,"36.17095044617331 139.31825630304104"
ｎａｍｃｏ熊谷店,埼玉県熊谷市銀座2-97CARPA1階,"36.1391162 139.3949055"
タイトーステーション 和光店,埼玉県和光市丸山台１−４−５,"35.7866435 139.6138036"
アドアーズ和光,埼玉県和光市本町３−５ワコーステーション３　１−３Ｆ,"35.7883181 139.6115733"
ビッグボウル杉戸,埼玉県北葛飾郡杉戸町大字杉戸２３３８,"36.040185 139.7208181"
ムー大陸本庄店,埼玉県本庄市本町1019-1,"36.24704609191445 139.19083570342718"
ＧｉＧＯ花園,埼玉県深谷市荒川３５９,"36.1204271 139.2330687"
ギガステーション戸田店,埼玉県戸田市大字美女木943-7,"35.834151131666935 139.65337923068842"
ラウンドワン朝霞店,埼玉県朝霞市膝折町２−１６−１０,"35.7902754 139.5796457"
ラウンドワンわらび店,埼玉県蕨市北町５−１−６,"35.8307831 139.6742333"
アドアーズ蕨,埼玉県蕨市塚越1-4-4ラ・セーヌビル2階,"35.82781644808535 139.69155916322939"
ラウンドワンさいたま・栗橋店,埼玉県久喜市小右衛門１９２−１,"36.1235137 139.7151734"
ラウンドワンららぽーと新三郷店,埼玉県三郷市新三郷ららシティ3-1-1ららぽーと新三郷2F20000番,"35.85948058394654 139.86713965158992"
ゲームパニック三郷,埼玉県三郷市ピアラシティ1-1-200,"35.842186 139.8548677"
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町大字金久保３９４−１,"36.25998003590755 139.13743807354126"
ラウンドワンさいたま・鴻巣店,埼玉県鴻巣市箕田３１６３−７,"36.0806388 139.4902256"
アミューズメントフィールドバイヨン,埼玉県ふじみ野市うれし野２−１６−１LCモールうれし野２Ｆ,"35.8561384 139.5223952"
ＧｉＧＯ柏,千葉県柏市柏１−１−１１丸井デパート内Ｂ１Ｆ,"35.8614881 139.9709011"
