アミパラ久御山店,京都府久世郡久御山町森大内337イオンタウン久御山
GiGO,MOMOテラス京都伏見,京都府京都市伏見区桃山町山ノ下32MOMOテラスAM棟2F
ネオ・アミューズメントスペースa-cho,京都府京都市中京区寺町通四条上る東大文字町３０２－３０３Ａ－ｂｒｅａｋビル２・３Ｆ
プラサカプコン京都店,京都府京都市右京区西院追分町２５－１イオン京都五条３階
モーリーファンタジー高の原店,京都府木津川市相楽台１－１－１イオン高の原４階
ゲームディーノ阪急茨木,大阪府茨木市永代町5 ソシオビルB1F
ゲームポイントシャトーEX,大阪府大阪市都島区東野田町3-9-3
コスミックプラザABC,大阪府寝屋川市早子町18-14
ダイナソアエイジ,大阪府大府市東新町3-88
アミパラ光明池店,大阪府和泉市室堂町824-36コムボックス光明池2階
タイトーFステーションりんくうシークル店,大阪府泉佐野市りんくう往来3りんくうPTシークル
モーリーファンタジーLINKS,UMEDA店,大阪府大阪市北区大深町4-8LINKS UMEDA 5F
ソユーゲームフィールド堺鉄砲町店,大阪府堺市堺区鉄砲町1番地イオンモール堺鉄砲町3階
アテナ日本橋,大阪府大阪市浪速区難波中２－１－２２
遊楽舎,姫路花田店,兵庫県姫路市花田町上原田2-1 ビッグエムワン2F
アミパラ垂水店,兵庫県神戸市垂水区名谷町字室山1400-18
アルゴ,兵庫県神戸市中央区下山手通1-1-8M:2nd
ゲームアイビス太子店,兵庫県揖保郡太子町太田2149ゲームアイビス太子店
セガフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町６－１フェニックスプラザ摩耶１Ｆ
モーリーファンタジー明石店,明石市大久保町ゆりのき通3-3-1 イオン明石ショッピングセンター3番街
モーリーファンタジー姫路大津店,兵庫県姫路市大津区大津町２丁目５番イオンモール姫路大津２階
アミパラ伊川谷店,兵庫県神戸市西区池上3丁目2番3号
G-pala花北,兵庫県姫路市増位新町1丁目6 ヴィーナスギャラリ 2F
セガつかしん,兵庫県尼崎市塚口本町４－８－１つかしん内
セガワールド米子,鳥取県米子市両三柳２７７８－２セガワールド米子
G-pala出雲店,島根県出雲市渡橋町784-1G-pala出雲
アミパラ松江店,島根県松江市東朝日町203-1
アミパラテクノランド,岡山県岡山市北区大和町１－７－１２
アミパラ津山店,岡山県津山市河辺１０００－１イオン津山２階
ふぇすたらんど倉敷マスカット店,岡山県倉敷市松島羽伏１１６３－２マルナカ倉敷マスカット３階
タイトーFステーションマルナカ新倉敷店,岡山県倉敷市玉島爪崎981-1マルナカ新倉敷
モーリーファンタジー・f岡山店,岡山県岡山市北区下石井1丁目2番1号イオンモール岡山4階
ビバーチャ,広島県広島市中区南竹屋町10-17
あみぱらんど福山店,広島県福山市三吉町南２－８－２４あみぱらんど福山
福山メトロポリス,広島県福山市一文字町24-1福山コロナワールド
タイトーFステーションゆめタウン東広島店,広島県東広島市西条土与丸１－５－７ゆめタウン東広島４階
タイトーFステーションゆめタウンみゆき,広島県広島市南区宇品西6-7-14ゆめタウンみゆき2階
フレスパランドカッタの湯,山口県宇部市海南町1675
ネオブラボー,山口県防府市高倉1-3-30
SOYUFamilyGameField防府店,山口県防府市鐘紡町7-1イオンタウン防府1階
アミパラ周南久米店,山口県周南市久米中央五丁目6番1号
セガ小郡,山口県山口市小郡前田町３－６セガ小郡
ゆめシティゆめパーク,山口県下関市伊倉新町３丁目１－１ゆめシティ
アポロゲームセンター沖洲,徳島県徳島市南沖洲1-93-1
宮西スタジアムII,愛媛県松山市宮西2-4-41
ふぇすたらんど今治店,愛媛県今治市馬越町4-8-1イオン今治店3F
アミューズメントパークMG東予周布店,愛媛県西条市周布７１５－１フジ東予別棟
ウェアハウス四万十店,高知県四万十市右山五月町8-13
タイトーFステーション野市店,高知県香南市野市町西野2007-1フジグラン野市
G-pala博多店,福岡県福岡市博多区東光寺町2-6-40　コマーシャルモール博多2F
G-stage七隈,福岡県福岡市城南区七隈8-4-8
G-stage小倉,福岡県北九州市小倉北区浅野2-14-5 あるあるCity2F
PEP,魚町店,福岡県北九州市小倉北区魚町2-4-20
スペースワン,福岡県小郡市小郡1466-3
楽市楽座くりえいと宗像店,福岡県宗像市くりえいと1丁目4番4号
アソビクル新宮,福岡県福岡市糟屋郡新宮町三代999-1
Ｇ－ｓｔａｇｅ飯塚店,福岡県飯塚市枝国６８０－２Ｇ－ｓｔａｇｅ飯塚
パスカランド黒崎店,福岡県北九州市八幡西区西曲里町3-1イオンタウン黒崎
マンガ倉庫飯塚店,福岡県飯塚市楽市769-1
楽市楽座砂津店,福岡県北九州市小倉北区砂津３丁目１－１チャチャタウン小倉Ｂ棟３階
FASボウリングセンター,佐賀県唐津市栄町2581-1
パスカランド鳥栖,佐賀県佐賀県鳥栖市本鳥栖町537-1 フレスポ鳥栖店2F
セガ武雄,佐賀県武雄市武雄町大字富岡12517-1
G-stage浜町,⾧崎県⾧崎市浜町2-26
サンゲームス佐世保店,⾧崎県佐世保市田原町38-1
モーリーファンタジー大塔店,⾧崎県佐世保市大塔町１４－２イオン大塔３階
FESTA人吉店,熊本県人吉市宝来町1307番地1HITOYOSHI-REX
ゴーゴーバンビーノ,熊本県人吉市下林町122番1
ザ・サードプラネット荒尾店,熊本県荒尾市原万田700-1
サンゲームス熊本インタープラザ,熊本県熊本市東区御領8-4-82
モーリーファンタジー熊本店,熊本県上益城郡嘉島町上島字⾧池2232イオン熊本2階
トライセン中津,大分県中津市下池永67-3
トライセン萩原,大分県大分市萩原4-227-7 ACS3F
FESTA佐伯店,大分県佐伯市鶴岡西町2丁目163番地コスモタウン佐伯内
セガワールド高城,大分県大分市牧１－１６１－８セガワールド高城
セガワールド中津,大分県中津市沖代町１－２－１６セガワールド中津
ゆめタウン別府店ＢＩＧＷＡＶＥ,大分県別府市楠町３８２－６ゆめタウン別府
タイトーステーションアミュプラザおおいた,大分県大分市要町１－１４アミュプラザおおいた４階
GiGO延岡,宮崎県延岡市平原町5-1492-8GiGO延岡
サンゲームス都城北,宮崎県都城市上川東4丁目5997-4
モーリーファンタジー延岡店,宮崎県延岡市旭町２－２－１イオン延岡２階
ゲームセンター電撃,ベイサイド店,鹿児島県鹿児島市浜町2番2
ザ・サードプラネットフレスポＪＰ鹿児島店,鹿児島県鹿児島市与次郎１－１１－１フレスポジャングルパーク２階
モーリーファンタジー鹿児島店,鹿児島県鹿児島市東開町7イオンモール鹿児島3階
