shop,adress,map
スタジオプリモ水戸店,茨城県水戸市宮町１−２−４マイム１F,"36.3714779 140.4774261"
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1,"36.38044168474524 140.4137529957702"
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町3276-1,"36.33796237938347 140.4832287269836"
ユーズランド水戸内原店,茨城県水戸市内原２−１イオンモール水戸内原２Ｆ,"36.37396288950651 140.35838955980228"
ＧｉＧＯ水戸南,茨城県水戸市千波町２０１７−１,"36.350324542678344 140.44300017472995"
ＧｉＧＯ日立,茨城県日立市田尻町３−２６−１,"36.62643121998619 140.66985826878658"
ゲームメガ日立店,茨城県日立市東多賀町５−１０−１０,"36.548234 140.6305081"
プレビ日立ショッピングセンター,茨城県日立市幸町１−１６−１日立ショッピングセンター５階,"36.5918049 140.6590163"
アミューズビバ,茨城県ひたちなか市東大島２−１１−１１,"36.406375 140.5318511"
ＧｉＧＯひたちなか,茨城県ひたちなか市田中後４０−２,"36.34750772741275 140.58008936560668"
ゲームメガつくば店,茨城県つくば市小野崎１７７−２,"36.0768508 140.1047378"
ＧｉＧＯデイズタウンつくば,茨城県つくば市竹園１—９−２デイズタウンつくば地下１Ｆ,"36.07772936300693 140.11533164180298"
ＧｉＧＯ石岡,茨城県石岡市東大橋中峯１９７６−１,"36.1986319157943 140.30338608650823"
ピンクパンサー下妻店,茨城県下妻市小島884-10,"36.1702653 139.9665309"
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内,"36.0463834 140.1682228"
ピンクパンサー土浦店,茨城県土浦市木田余４５８５−３,"36.1065463 140.2151975"
ＧＡＭＥ ＰＡＤＤＯＣＫ＋１,茨城県古河市小堤１９１６−１,"36.2067383 139.7578725"
ＧｉＧＯ神栖,茨城県神栖市神栖１ー８−１,"35.8979951 140.6444094"
ゲームメガみらい平店,茨城県つくばみらい市陽光台１−１４−１,"35.995524428765755 140.0406751203766"
ＧｉＧＯ龍ケ崎,茨城県龍ケ崎市藤ケ丘４−２−８,"35.9385388 140.1959422"
アピナ下館店,茨城県筑西市玉戸１０１２−３,"36.295425571270805 139.94568928413082"
ＧｉＧＯ霞ヶ浦,茨城県稲敷市西代１４７３−１,"35.9183324 140.4848113"
ｎａｍｃｏフェドラＰ＆Ｄ佐野店,栃木県佐野市高萩町１３４０,"36.2973133 139.6056474"
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町７−３,"36.5632663 139.8603778"
ＧｉＧＯ宇都宮,栃木県宇都宮市東宿郷５−１−７,"36.5583104 139.9088155"
ｎａｍｃｏ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル,"36.5438973 139.8915485"
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8宇都宮フェスタ1F,"36.5603923 139.884618"
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２−１,"36.5406864 139.8868934"
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６−５−１,"36.4881173 139.905569"
TFSトナリエ宇都宮,栃木県宇都宮市駅前通り１丁目４番６号トナリエ宇都宮,"36.56046432398651 139.8969966294478"
タイトーＦステーション小山店,栃木県小山市喜沢1475ハーヴェストウォーク内スポーツシネマ棟,"36.33614382544548 139.80737963572085"
ＧｉＧＯ小山,栃木県小山市東城南１−１−１８,"36.2989766 139.8101635"
アピナ小山店,栃木県小山市駅南町４−２７−１８,"36.30040103988819 139.80912381163944"
ＧｉＧＯ日光,栃木県日光市芹沼１４４８−１,"36.74109486411821 139.7101396613075"
ドラマ足利店,栃木県足利市朝倉町244-1,"36.32249071212465 139.45034310000005"
大田原スポーツランド,栃木県那須塩原市一区町１０４−６０,"36.8519301 139.993356"
ＧｉＧＯ西那須野,栃木県那須塩原市南郷屋２−１０６−２７,"36.895119 139.9822381"
ＰＡＬＯ石橋,栃木県下野市下古山３３６２−１ヨークタウン,"36.468733 139.8693837"
THE 3RD PLANET 高崎店,群馬県高崎市下和田町5-3-8 メディアメガ高崎内,"36.31975841139435 139.01414190615162"
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１高崎ＥＸビル,"36.329871607750796 139.01285747976226"
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ,"36.39048202673971 139.00653036745916"
インターワールド伊勢崎店,群馬県伊勢崎市宮子町3425-4,"36.331521364766225 139.1625032754631"
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1,"36.31821284280695 139.1723709085984"
ＧｉＧＯスマーク伊勢崎,群馬県伊勢崎市西小保方町３６８スマーク伊勢崎３Ｆ　３０２区画,"36.3391744 139.2330425"
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1,"36.2743443 139.0718665"
ＧｉＧＯ太田,群馬県太田市西矢島町５７５−１,"36.27455388512081 139.37808433921737"
アピナ太田店,群馬県太田市内ケ島町９０７−１,"36.2829707 139.3984248"
ＧｉＧＯ館林,群馬県館林市小桑原町９４９−１,"36.235220968803056 139.52032869916684"
ラウンドワン前橋店,群馬県前橋市天川大島町１１０１−１,"36.3687628 139.1052489"
マトリクス前橋,群馬県前橋市小相木町５５８−１,"36.37274385615729 139.05966141052022"
