NESiCAxLive2,住所
ウェアハウス南流山店,千葉県流山市南流山４−１６−６
東京レジャーランド亀有店,東京都葛飾区亀有３−２１−２
ドットコム葛西店,東京都江戸川区中葛西３−３５−５
タイトーステーション 国分寺店,東京都国分寺市本町３－５－１１　Ｉビルディング
ＡＳＯ：ＶＩＢＡ！,東京都渋谷区恵比寿１−１０−５　三恵エビスビル２Ｆ
高田馬場ゲーセンミカド,東京都新宿区高田馬場４−５−１０　オアシスプラザビル
新宿スポーツランド本館,東京都新宿区新宿３−２２−１２　サンパーク本館１Ｆ
ゲームイエストロン,東京都新宿区新宿３－３４－９
タイトーステーション 新宿南口ゲームワールド店,東京都新宿区新宿３－３５－８
ＧｉＧＯ神楽坂,東京都新宿区神楽坂２－１１　第２カグラヒルズ１階
