name,loc_id,address,pcb_count
"安城メトロポリス","voxcgXrCQKrVGA2EeiUJkQ","愛知県 安城市 浜富町 6-8","5"
"GiGO 安城","sMdP3MbrPQMXa3-zM6Y5DA","愛知県 安城市 百石町 2-35-13","5"
"ムー大陸西尾","72NOC6-v39VHo5s05esCYQ","愛知県 西尾市 下町 御城下23-1　おしろタウンシャオ2F","5"
"アピナ四日市","wpt7HVJFEH183x0u6gY6iQ","三重県 四日市市 泊小柳町 4-34","12"
"ラウンドワン津・高茶屋","KFHPVXAmVC0crqK3fWMMaw","三重県 津市 高茶屋小森町 277-8","9"
"GiGO 生桑","fA52hitDDSF7YNZJLh9ILw","三重県 四日市市 生桑町字川原崎 299-1","9"
"GiGO トナリエ四日市","-M9L7cqFfHMWf9nqYcA0ZA","三重県 四日市市 安島 1-3-31　トナリエ四日市5F","6"
"GiGO 伊勢","A_FPPchUh5wgGZQir--j5A","三重県 伊勢市 中須町 666","5"
"アピナ鈴鹿","-T2FTXvSftEc9HIQac2dwA","三重県 鈴鹿市 庄野羽山 4-20-1　イオンタウン鈴鹿2F","5"
"アミパラ鈴鹿","98mZOKMJ_0SPLJ8-0FmtEw","三重県 鈴鹿市 西條町字東澤 430-1","5"
"ドリームキャンディー","prtvJ6EfeECaoZXtHzkokg","三重県 伊賀市 小田町 711","5"
"ラウンドワンスタジアムみえ・川越IC","s_0VkPZWNDpl7L8WxAu22g","三重県 三重郡川越町 南福崎 851-1","5"
"アミューズメントスペースコミ丸四日市","JYCMwjakE89A93MuvfgXyQ","三重県 四日市市 鵜の森 1-3-19","4"
"滋賀レジャーランド大津","ma-2Lzmty6Hxy2QrJfPMTA","滋賀県 大津市 におの浜 3-1-43","10"
"タイトーFステーションイオン近江八幡","KtAFGVY8_cbLzlaHlstbQg","滋賀県 近江八幡市 鷹飼町南 3-7　イオン近江八幡SC2番街　イオン近江八幡店1F","7"
"アクション草津","g_9HNy3c2xEmMvZJuYGeCQ","滋賀県 草津市 野路 3-1-11　ACT草津2号館","7"
"エースレーン堅田","8yaKrOHEZTaVxAvBSU3C9w","滋賀県 大津市 今堅田 2-40-10　ACT堅田2F","6"
"ラウンドワンスタジアム浜大津アーカス","x5uzPBNvllFb0wu8FGJbqw","滋賀県 大津市 浜町 2-1　浜大津アーカス内","5"
"彦根パスカ","7oKMXCf_2CYKS-AUbRItww","滋賀県 彦根市 西沼波町 166","5"
"エースレーン近江八幡","wGSl06IUY9mH72JbAlogzA","滋賀県 近江八幡市 出町 736　ACT近江八番2番館1F","5"
"アミパラ草津","qT_0oMV8D8s6Ukq985V-AQ","滋賀県 草津市 木川町 72","5"
"GiGO 甲西","jZESgt4UajgAlbwlc4ynQw","滋賀県 湖南市 夏見二ツ橋 356-1","5"
"エースレーン守山","1VCqd5zyYCNSj372whb-0w","滋賀県 守山市 播磨田町 231-4　ACT守山3番館2F","3"
"ラウンドワン京都河原町","bY9a4pST8rybbdVCYuuXCQ","京都府 京都市中京区 河原町通三条下る山崎町 250","19"
"ラウンドワンスタジアム京都伏見","wxIFO4huSpNdlLwuPEkJVA","京都府 京都市伏見区 下鳥羽平塚町 131","9"
"あそVIVAゲームセンター","nGZQjG4WFx9d0M73aGxRJg","京都府 福知山市 堀上高田 2146-1　あそVIVA1F","9"
"アミューズメントCUE京都円町","tzBn7ti9d4K_ZpLvYd6P1w","京都府 京都市中京区 西ノ京西円町 40","8"
"サープラ京都あそびタウン","RbVHDJdkwkb3c9xd025VBA","京都府 京都市中京区 西ノ京栂尾町 107　BiVi二条2F","5"
"バンダイナムコ Cross Store 京都","YGFnfpv6GKnsaLGg3h91Fw","京都府 京都市南区 西九条鳥居口町 1　イオンモールKYOTO　Sakura館4F","5"
"アミパラ久御山","kE9wqLXYZ72SNCMOD716sA","京都府 久世郡久御山町 森 大内337　イオンタウン久御山内","5"
"namco梅田","LCI0iXEtSn8q48CMTp31cA","大阪府 大阪市北区 小松原町 3-3　OSビル1～3F","59"
"ラウンドワンスタジアム千日前","MVUXKbrszIHDDo0Ac5hR3A","大阪府 大阪市中央区 難波 1-3-1","38"
"namco大阪日本橋","XuQh9gkh3pkL170fhZUthg","大阪府 大阪市浪速区 難波中 2-1-17　コスモビル1～3F","31"
"アテナ日本橋","qwR4xN9QePGhEfe6k1CAVg","大阪府 大阪市浪速区 難波中 2-1-22","19"
"GiGO 布施","ALdFrzpnQgaKh8YaRJZS-A","大阪府 東大阪市 長堂 1-1-1　ロンモール布施内","18"
"ラウンドワン梅田","taxoTRMPY-gM6NmIRmu4bA","大阪府 大阪市北区 小松原町 4-16","17"
"GiGO あべのアポロ3F","nui6xmZI1X5GWsvYBqLiGA","大阪府 大阪市阿倍野区 阿倍野筋 1-5-31　アポロビル3F","17"
"GiGO 難波アビオン","5BB8wDEw9o1OHziRDnANvQ","大阪府 大阪市浪速区 難波中 2-3-15　MMOビルB1～3F","15"
"関大前フタバボウル","XEs_KHA71r6fYxhqZs5Rng","大阪府 吹田市 千里山東 1-7-18","15"
"ゲームポイントシャトーEX","-x28HPgenhZKihyQAozJkw","大阪府 大阪市都島区 東野田町 3-9-3　グランシャトービル1・2F","14"
"星狩物語岸和田","b1FbeO5V583RNUhXaAgawQ","大阪府 岸和田市 作才町 1-3-2","14"
"あそVIVA阪急茨木","p94C8E_nLnhaMdWLHnkZsg","大阪府 茨木市 永代町 6-2　スポーツプラザ茨木2F","14"
"ラウンドワン東大阪","r7GRSAqg4lGK55-Ek46meg","大阪府 東大阪市 若江南町 1-2-12","14"
"GiGO 大阪第4ビル","uA83rC9I7s-hjuo3n-gGug","大阪府 大阪市北区 梅田 1-11-4　駅前第4ビルB1F","13"
"ラウンドワン守口","3yQ5-VfmF89U09jSCUxtCw","大阪府 守口市 佐太東町 2-6-14　ジャガーグリーン2F","13"
"ラウンドワンスタジアム堺中央環状","TqqhKc5g7x8_TcAJjmt1-A","大阪府 堺市東区 石原町 2-241","12"
"タイトーステーション大阪日本橋","AGzomhjWnkNK63BQaH8UzQ","大阪府 大阪市浪速区 日本橋 4-9-14","10"
"ゲームフェイス八尾","jvHzGXoj0B2TF_W-Yr25cQ","大阪府 八尾市 天王寺屋 2-68","10"
"YAZ寝屋川","x6fFczbRzrMnfLhz5gT0xg","大阪府 寝屋川市 石津中町 25-26","10"
"モンキートリック","VwnYvgSVG-UR4-FFq8aZ_A","大阪府 寝屋川市 香里南之町 32-5　YNレジデンス香里2F","10"
"ゲーム・ザ・ゴリラ","ZMA91uLVOmXmkrNPW_IC3w","大阪府 和泉市 伏屋町 4-10-51","10"
"ラウンドワンスタジアム城東放出","-lFZW6r-HaLkGBgHB33OCw","大阪府 大阪市城東区 今福南 3-4-38","9"
"ザ・インドアゲーム","Pnxrl-Yf6IEr2C8EIntccA","大阪府 大阪市旭区 中宮 5-6-19","9"
"ラウンドワンスタジアム堺駅前","vDye4MmzU10qmBz4NdY_5Q","大阪府 堺市堺区 戎島町 4-44-3","9"
"ラウンドワン豊中","jGnjVTBlAUSWmzp-umVA3Q","大阪府 豊中市 名神口 1-1-1","9"
"泉大津フタバボウル","yW41TxaPyGk0rhnWe-XFRg","大阪府 泉大津市 松之浜町 1-2-53","9"
"ラウンドワンスタジアム高槻","CHwoPsffWJOSX4qcmaRVyg","大阪府 高槻市 辻子 3-6-4","9"
"ゲームプラザエム","I5pDQQLTLKk4-uP5ePpBvw","大阪府 守口市 本町 1-3-3","9"
"GiGO 枚方","gutn3npzhmDSkvOu4aMyKQ","大阪府 枚方市 須山町 83-1　サンシャインプラザ枚方内","9"
"GiGO 大阪道頓堀本店","9yLtPLYvhFWoCk_Y9X1UzA","大阪府 大阪市中央区 道頓堀 1-8-22","5"
"タイトーステーション難波","ogPrm7VAsOIdNvKw1M6Syw","大阪府 大阪市中央区 難波千日前 15-12","5"
"namcoマグスミノエ","N2XkauGg7dELBn1-LxIDlA","大阪府 大阪市住之江区 泉 1-1-82　マグスミノエ1F","5"
"コーハツ","ig5574_fQZi-QyD3tdhJdg","大阪府 大阪市北区 天神橋 2-2-21　コーハツビル1F","5"
"GiGO 今福","lfniabigtUGQPWjLr8EMzw","大阪府 大阪市城東区 今福東 1-9-34","5"
"ラウンドワン岸和田","sF4kSwSodCtGUuNMhUYdjw","大阪府 岸和田市 八阪町 2-11-1","5"
"Feedy Diner＆Arcade 茨木","nPwBiLH62jgu1Y-3tdGVSA","大阪府 茨木市 松ケ本町 8-30-5　イオンモール茨木4F","5"
"アミパラ大東","V39qvmc2SJPrPh28_TkEGg","大阪府 大東市 南新田 2-3-5","5"
"アミパラ光明池","yVtkEc2vzb6TUaySopZr2g","大阪府 和泉市 室堂町 824-36　コムボックス光明池2F","5"
"GiGO 和泉","fzoOmvZEXl43vvxvttoacQ","大阪府 和泉市 肥子町 2-4-41","5"
"遊スペースマジカル","nc6fPgsQjV75DuRSkzX7JQ","兵庫県 神戸市中央区 琴ノ緒町 5-2-3","22"
"ラウンドワン三宮駅前","TUn5h-mmq5OVNUjN0d3M-w","兵庫県 神戸市中央区 小野柄通 6-1-17","14"
"タイトーFステーション三宮西館","ZMaLfVUyoNX54hkh4CRy9A","兵庫県 神戸市中央区 三宮町 2-11-1　センタープラザ西館3F","9"
"メガパレス遊スペースアローズ","-Mx1COw66CAbhYG-g8KtuA","兵庫県 神戸市西区 丸塚 2-9-18　ホームランスタジアムメガパレス2F","9"
"ラウンドワン姫路飾磨","xswXcjaarG16hdpeqe4QoQ","兵庫県 姫路市 飾磨区中島 1-254","9"
"ラウンドワン伊丹","KOlZofSMIbSVO6sRsVUxWQ","兵庫県 伊丹市 昆陽 7-29","9"
"アミパラ加古川","6ajP4KZNxfZ8c95cv1J1bw","兵庫県 加古川市 尾上町今福 71-2","9"
"ラウンドワン加古川","LU7xbmCJUpZoZNjsLxcm2Q","兵庫県 加古川市 尾上町安田 325-6","9"
"GiGO 三宮北口","bi1AfFo-XTrAT-2yc78hng","兵庫県 神戸市中央区 北長狭通 1-8-1　コスモビル2F","7"
"GiGO 姫路駅前","SntAV8PvUXJbmAdwZE2cjg","兵庫県 姫路市 駅前町 254　姫路OSビルB1F","7"
"タロフォフォ","aQfVZ1GQSeAYMuwrTW_nSA","兵庫県 西宮市 田中町 5-21","7"
"アルゴ","I2cuaeHkGExVtOWE9iFeUw","兵庫県 神戸市中央区 下山手通 1-1-8","5"
"アミパラ垂水","kaitpjdXRTkENQ2Rsns2uw","兵庫県 神戸市垂水区 名谷町字室山 1400-18","5"
"GiGO フェニックスプラザ摩耶","2STKse6El5MNaebPuzM3mw","兵庫県 神戸市灘区 味泥町 6-1　フェニックスプラザ1F","5"
"アピナ姫路","OoQZ3l2xFyy7cdHaLUPxpQ","兵庫県 姫路市 東郷町 1454-3　姫路リオス2F","5"
"GiGO 明石","rNwtCDVue4KXJ-Il_oQTxQ","兵庫県 明石市 魚住町清水 2464-1　ドライブインながさわ内","5"
"namco豊岡","P6IFzxR-h2tbDd7qleYm1w","兵庫県 豊岡市 中陰字大工 617　3F","5"
"遊スペーススプラ","c5vpZdYSEmCdGCmTNLtuOQ","兵庫県 加古川市 尾上町安田 351-1　ホームランスタジアムメガコート2F","5"
"アミューズスペースミール","U6T01Y4tLcCMo24JTtaOwQ","兵庫県 三田市 対中町 5-21","5"
"ゲームアイビス太子","VGUFhDJD_9Vqs6rzTaqKIA","兵庫県 揖保郡太子町 太田 2149","5"
"ラウンドワンスタジアム奈良ミ・ナーラ","9yUTB1_pofBLF-qshTdG7g","奈良県 奈良市 二条大路南 1-3-1　ミ・ナーラ5F","9"
"アミパラ橿原","6T7Ozj3xyknt9aneTc4Fdg","奈良県 橿原市 十市町 1222-1　ツインゲート橿原1F","9"
"アミューズメントCUE奈良三条","QkQUXrfKCB3Uu81qTufJuA","奈良県 奈良市 三条町 478-1","8"
"アミューズメントCUE奈良大和高田","YBspbi5DwNbuhCVvJRqCOA","奈良県 大和高田市 東中 2-11-16","7"
"ラウンドワンスタジアム和歌山","4VNESAgg2ze3gSKRohVKWw","和歌山県 和歌山市 小雑賀 739-3","9"
"ユーズランド和歌山","_4QIg4wKtYX3JiRvvg8zEw","和歌山県 和歌山市 ふじと台 23　イオンモール和歌山2F","5"
"GiGO 鳥取","zcStNPdGPho8Lj_HnEdXkg","鳥取県 鳥取市 安長 416","7"
"GiGO 米子","3_Gj2BajW3Prsyi4tk9wOA","鳥取県 米子市 両三柳 2778-2","5"
"アミパラがいな","os3vWpHgugYrgvv37g6ADg","鳥取県 米子市 日ノ出町 1-8-13","5"
"GiGO 松江","oaGJimiIdPF28uuaUugEwQ","島根県 松江市 嫁島町 12-15","9"
"アミパラテクノランド","DawC43P4Q8oEstQL4-Kfmw","岡山県 岡山市北区 大和町 1-7-12","13"
"ファンタジスタ","IXZP_DqH6Ot6YWPHl11Jrg","岡山県 倉敷市 新倉敷駅前 5-194","10"
"アミパラ岡山","Zd8VCcI5EJCntk48EbZM1g","岡山県 岡山市北区 青江 1-13-8","9"
"ラウンドワンスタジアム岡山妹尾","zWbsujVB3SP82RZAxvr1Kg","岡山県 岡山市南区 妹尾 3413-1","9"
"ユーズランド倉敷","6zfxKovNVthvnosimI8w9w","岡山県 倉敷市 水江 1　イオンモール倉敷2F","9"
"アミパラ倉敷","2PHgIg7a9QiT5o8-PsfIYg","岡山県 倉敷市 西中新田 624-1　アミパラボウル1F","7"
"GiGO 岡山藤崎","ED-x3WSmxlp84meTmaDU8w","岡山県 岡山市中区 藤崎 599-12","5"
