shop,address,count,shopid
GiGO仙台,宮城県仙台市青葉区中央2-5-5 三経60ビル,2,shop_id=11810
GiGO仙台一番町,宮城県仙台市青葉区一番町4-5-13 サンシャインビル1F ,2,shop_id=11938
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25 ,2,shop_id=6482
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町２６－６０ 斎喜東部ビル２階,4,shop_id=5559
タイトーステーション仙台クリスロード店,宮城県仙台市青葉区中央２－３－２５ ,2,shop_id=6614
タイトーステーション仙台ベガロポリス店,宮城県仙台市太白区西多賀５－２４－１ ベガロポリス,2,shop_id=3092
タイトーステーション仙台名掛丁店,宮城県仙台市青葉区中央１－７－１３ ハピナ名掛丁商街,2,shop_id=8995
モーリーファンタジーヨドバシ仙台店,宮城県仙台市宮城野区榴岡1-3-1 ヨドバシ仙台,2,shop_id=12349
ラウンドワン仙台苦竹,宮城県仙台市宮城野区苦竹1丁目7番10号 ,2,shop_id=10745
GiGO名取,宮城県名取市飯野坂土城堀57-1 ,4,shop_id=1325
SOYU GAME FIELD古川店,宮城県大崎市古川沢田字筒場浦15番地 イオンタウン古川内,4,shop_id=10913
モーリーファンタジー古川店,宮城県大崎市古川旭二丁目2－1 イオン古川店2階,2,shop_id=2173
アピナ富谷店,宮城県富谷市大清水 1丁目33-1イオンモール富谷別棟109シネマズ富谷1階,4,shop_id=12392
GiGO佐沼,宮城県登米市迫町佐沼字中江2-5-8 ,2,shop_id=5920
プラサカプコン イオンタウン佐沼店,宮城県登米市南方町新島前46-1 イオンタウン佐沼1階,2,shop_id=2551
GiGO石巻,宮城県石巻市大街道4丁目1番45号 ,2,shop_id=5923
プラサカプコン石巻店,宮城県石巻市蛇田新金沼１７０ イオン石巻２階,4,shop_id=1930
GiGO利府,宮城県宮城郡利府町加瀬前谷地55-1 利府ベアガーデン,4,shop_id=5575
ユーズランド大河原店,宮城県柴田郡大河原町小島２－１ フォルテ２階,4,shop_id=5667
プラサカプコン大曲店,秋田県大仙市和合坪立１７７ イオン大曲２階,4,shop_id=1943
namcoイオンタウン大館西店,秋田県大館市根下戸新町18-121 イオンタウン大館西内,4,shop_id=1590
G3POROS横手南店,秋田県横手市婦気大堤字中田4-1 イオンスーパーセンター横手南店 2Fゲームコーナー,4,shop_id=9745
ゲームフィールド十文字店,秋田県横手市十文字町仁井田東22-1 スーパーモールラッキー,2,shop_id=401
GiGO秋田,秋田県秋田市茨島1丁目1-16 ,2,shop_id=1193
ソユーゲームフィールド御所野店,秋田県秋田市御所野地蔵田1－1－1 イオンモール秋田2階,2,shop_id=2079
ラウンドワンスタジアム秋田店,秋田県秋田市卸町1-1-2 ,2,shop_id=6115
ソユーゲームフィールド能代店,秋田県能代市鰄渕字古屋布1番 イオンタウン能代内 ,2,shop_id=11560
GiGO天童,山形県天童市南町1―5―26 らら・パーク天童,4,shop_id=239
GiGO北山形,山形県山形市北町1-3-20 ,2,shop_id=5595
パルケデアミーゴ,山形県山形市嶋北1-3-1 ,2,shop_id=10039
GiGO米沢,山形県米沢市大字花沢字タナコ原177 ,2,shop_id=5594
アピナ鶴岡店,山形県鶴岡市文下字広野１－１ アピナ鶴岡,2,shop_id=5793
GiGO庄内,山形県東田川郡三川町猪子大堰端326-6 AGスクエア庄内,2,shop_id=179
SOYU Game Field三川店,山形県東田川郡三川町猪子和田庫１２８－１ イオンモール三川１階,2,shop_id=5927
GiGO勿来,福島県いわき市勿来町四沢鍵田13 ,4,shop_id=3081
モーリーファンタジーいわき店,福島県いわき市平字三倉６８－１ イオンいわき３階,2,shop_id=2135
GiGO会津若松,福島県会津若松市町北町上荒久田宮下142 ,2,shop_id=2713
PALO喜多方店,福島県喜多方市字押切南2丁目42-1 ,2,shop_id=9575
GiGO白河,福島県白河市新高山1-1 メガステージ白河,2,shop_id=7847
GiGO福島,福島県福島市本内中井1-2 ,4,shop_id=3080
GiGO福島南,福島県福島市黒岩中島7-2 ,4,shop_id=88
サープラ福島あそびタウン,福島県福島市栄町1-1 パワーシティピボット,2,shop_id=94
ラウンドワンスタジアム福島,福島県福島市太田町14-18 ,4,shop_id=11672
GiGO日和田,福島県郡山市日和田町字西中島7-1 ,2,shop_id=3582
namcoイオンタウン郡山店,福島県郡山市松木町2-88 イオンタウン郡山,10,shop_id=1601
タイトーFステーション郡山アティ店,福島県郡山市駅前1-16-7 郡山アティ7F,2,shop_id=9620
タイトーFステーション郡山オリエントパーク店,福島県郡山市安積町荒井字大久保35-1 タイトーFステーション郡山オリエントパーク店,4,shop_id=2907
ラウンドワンスタジアム郡山,福島県郡山市向河原町4-55 ,2,shop_id=11640
ソユーエンターテイメントスタジオ須賀川店,福島県須賀川市古河１０５番 イオンタウン須賀川Ｂ棟内,4,shop_id=5601
ゲームメガみらい平店,茨城県つくばみらい市陽光台1-14-1 ゲームメガみらい平店,4,shop_id=2051
GiGOデイズタウンつくば,茨城県つくば市竹園1-9-2 デイズタウンB1F,2,shop_id=3848
ゲームメガつくば店,茨城県つくば市小野崎177-2 ,2,shop_id=11602
GiGOひたちなか,茨城県ひたちなか市田中後40-11 ,2,shop_id=8119
アミューズビバ,茨城県ひたちなか市東大島2-11-11勝田ミナミボウル内 ,2,shop_id=11713
ピンクパンサー下妻,茨城県下妻市小島884-10 ,4,shop_id=11699
モーリーファンタジー下妻店,茨城県下妻市堀籠９７２－１ イオンモール下妻２階,2,shop_id=2229
FESTA古河,茨城県古河市松並2-18-10 マーケットシティ古河,2,shop_id=751
ゲームパドック・プラスワン古河店,茨城県古河市小堤１９１６－１ ゲームパドック・プラスワン古河,4,shop_id=1088
ゲームパニックつくば,茨城県土浦市中村東1-1-1 サンタスワールド内,4,shop_id=425
ピンクパンサー土浦店,茨城県土浦市木田余4585-3 ピンクパンサー土浦店,2,shop_id=10620
ソユートイズニューヨーク守谷,茨城県守谷市百合ケ丘３―２４９―１ イオンタウン守谷２階,2,shop_id=3002
GiGO日立,茨城県日立市田尻町3-26-1 ,2,shop_id=5593
ゲームメガ日立店,茨城県日立市東多賀町5-10-10 ,4,shop_id=1396
GiGO水戸,茨城県水戸市宮町1-7-44 コムボックス310,2,shop_id=11684
GiGO水戸南,茨城県水戸市千波町2017-1 ,2,shop_id=10219
ゲームメガ水戸けやき台店,茨城県水戸市酒門町3276-1 ゲームメガ水戸けやき台店,2,shop_id=1860
ピンクパンサー水戸赤塚店,茨城県水戸市河和田１－１ ピンクパンサー水戸赤塚,2,shop_id=2052
ユーズランド水戸内原店,茨城県水戸市中原町135番地 イオンモール水戸内原2F,6,shop_id=1140
GiGO石岡,茨城県石岡市東大橋中峯1976-1 ,4,shop_id=1448
GiGO神栖,茨城県神栖市神栖1-8-1 ,2,shop_id=7543
GiGO霞ケ浦,茨城県稲敷市西代1473-1 ,2,shop_id=11694
アピナ下館店,茨城県筑西市玉戸１０１２－３ アピナ下館,2,shop_id=985
GiGOショッピングセンターチェリオ鹿嶋,茨城県鹿嶋市宮中290-1 ショッピングセンターチェリオ1階,2,shop_id=11128
GiGO龍ヶ崎,茨城県龍ケ崎市藤ケ丘4-2-8 ,4,shop_id=8271
PALO石橋店,栃木県下野市下古山3362-1 ヨークタウン石橋,2,shop_id=3141
namcoフェドラP&D佐野店,栃木県佐野市高萩町1340番地 ,10,shop_id=9608
GiGO宇都宮,栃木県宇都宮市東宿郷5-1-7 セガワールド宇都宮,4,shop_id=3888
namco宇都宮店,栃木県宇都宮市簗瀬町1606番地1 P&Dビル,8,shop_id=1599
インターパークプラスワン宇都宮店,栃木県宇都宮市インターパーク６丁目５－１ インターパーク宇都宮南,6,shop_id=5545
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町7-3 ,4,shop_id=11733
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8 ,2,shop_id=10051
タイトーFステーショントナリエ宇都宮,栃木県宇都宮市駅前通り1-4-6 トナリエ宇都宮B1,2,shop_id=8891
ラウンドワンスタジアム宇都宮,栃木県宇都宮市江曽島町2072-1 ,2,shop_id=11650
GiGO小山,栃木県小山市東城南1―1―18 ,2,shop_id=6458
アピナ小山店,栃木県小山市駅南町４－２７－１８ アピナ小山,2,shop_id=2405
タイトーFステーション小山店,栃木県小山市喜沢１４７５ おやまゆうえんハーヴェストウォーク,2,shop_id=11821
GiGO日光,栃木県日光市芹沼1448-1 センショープラザ,2,shop_id=1951
ドラマ足利,栃木県足利市朝倉町244-1 ドラマ足利,4,shop_id=12734
GiGO西那須野,栃木県那須塩原市南郷屋2-106-27 ,2,shop_id=1382
大田原スポーツランド,栃木県那須塩原市一区町104-60 ,6,shop_id=9405
インターワールド伊勢崎,群馬県伊勢崎市宮子町3425-4 ,4,shop_id=12263
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1 ,4,shop_id=3646
タイトーFステーション前橋リリカ,群馬県前橋市国領町2-14-1前橋リリカ2F ,2,shop_id=10210
マトリクス前橋,群馬県前橋市小相木町558-1 ,4,shop_id=11677
ラウンドワンスタジアム前橋,群馬県前橋市天川大島町1101-1 ,2,shop_id=11674
群馬レジャーランド前橋店,群馬県前橋市 日吉町4－37－1,4,shop_id=12701
GiGO太田,群馬県太田市西矢島町575-1 ,2,shop_id=6437
アピナ太田店,群馬県太田市内ケ島町９０７－１ アピナ太田,4,shop_id=108
