shop,address,id,place
"GAME ALEX","山口県 宇部市 西宇部南 3-5-53","dzRLQ029e4jGqRqxYFQ4Lg","33.99940595 131.2200916"
"GAME BANK 泉","宮城県 仙台市泉区 大沢 2-5-4","PxXWTR6SVhQUo1Cujad0lw","38.3527358 140.8773475"
"GAME PADDOCK +1 古河本店","茨城県 古河市 小堤 1916-1","62bBOi7u402l3nF-bOVfCA","36.2067383 139.7578697"
"GAME SQUARE茂原","千葉県 茂原市 六ツ野八貫野 2785-1　ライフガーデン茂原内","wLU9Mu5S6SuK-PjNIWb53A","35.431064 140.309925"
"GAME・パフェ下関","山口県 下関市 竹崎町 4-4-8　シーモール下関4F","Xmm_zKIP2YZW-kKj09Vwcw","33.948989 130.923836"
"GAME＆GO！KISARAZU","千葉県 木更津市 太田 2-5-1　精文館書店木更津店内ゲームコーナー","0OEQtYUNclrH8CYHlDTBow","35.381958 139.941923"
"GAZA 3Fゲームコーナー","愛知県 豊田市 喜多町 1-140　3F","yWU1szSwe5-RkKFmuOGcCg","35.08803 137.157265"
"GIGA上安","広島県 広島市安佐南区 上安 2-27-2","R4NrS6DPXB08sZBjOI4Eng","34.475832 132.442057"
"GIGA与野本町","埼玉県 さいたま市中央区 本町東 1-3-18","4b2qh2_ExyKbuyoML6mi_Q","35.879735 139.626431"
"GIGA五日市","広島県 広島市佐伯区 八幡 1-26-10","Ciwv1TTEUxYnQcXd2xfdAg","34.385813 132.358085"
"GIGA八本松","広島県 東広島市 八本松東 3-11-9","ieEyI_eLDTg3tX94VYGJBQ","34.446524 132.707591"
"GIGA春日","福岡県 春日市 昇町 8-1-1","z5B_35kgryMwYdD3TW5FFw","33.520177 130.451546"
"GIGA武蔵浦和本店","埼玉県 さいたま市南区 沼影 3-5-15","V1ptdqDQ1yWIu-7bWj_BQQ","35.837754 139.651071"
"GIGO マーケットスクエアささしま","愛知県 名古屋市中村区 平池町 4-60-14　マーケットスクエアささしま1F","-VKb5bpF1YJYJW5jKvAjtw","35.162623 136.884936"
"Game Q","山梨県 富士吉田市 上吉田 2-5-1　富士山駅ビルQ-STA 4F","Yc3taUIAXKJa96obSb2ZYQ","35.483744 138.795383"
"GiGO LECT広島","広島県 広島市西区 扇 2-1-45　LECT 2F","nlcAOW39k6fqF18DK5Tftw","34.371943 132.407456"
"GiGO MOMOテラス京都伏見","京都府 京都市伏見区 桃山町山ノ下 32　MOMOテラス別館2F","xvtHs7GOakdC9YeV9RNO_w","34.937355 135.795123"
"GiGO mozoワンダーシティ","愛知県 名古屋市西区 二方町 40　mozoワンダーシティ4F・シネマ棟2F","Szk7KDwGc-hlLgCV0_nwtw","35.224883 136.88344"
"GiGO あべのアポロ3F","大阪府 大阪市阿倍野区 阿倍野筋 1-5-31　アポロビル3F","nui6xmZI1X5GWsvYBqLiGA","34.6465412 135.511716"
"GiGO あべのアポロ4F","大阪府 大阪市阿倍野区 阿倍野筋 1-5-31　アポロビル4F","dLJQbeojU7gzIMeny_djxw","34.646541 135.511716"
"GiGO あべのキューズモール","大阪府 大阪市阿倍野区 阿倍野筋 1-6-1　あべのキューズモール3F　Q-332","TG1RAkJqffxIonjRFfwGWA","34.643957 135.511245"
"GiGO あまがさきキューズモール","兵庫県 尼崎市 潮江 1-3-1　あまがさきキューズモール4F","cSHvBXsMa2EecFVaLcmE_A","34.733584 135.430443"
"GiGO つかしん","兵庫県 尼崎市 塚口本町 4-8-1　つかしんにしまち2F","lggedNv2RSjdQUcewDQYCg","34.761884 135.418049"
"GiGO みらい長崎ココウォーク","長崎県 長崎市 茂里町 1-55　みらい長崎ココウォーク5F","eu7RGJ9pqBydny0J9cUFtQ","32.762534 129.864648"
