shop,住所cd
GiGOららぽーと柏の葉,千葉県柏市若柴175ららぽーと柏の葉店3F,DBRD
GiGOららぽーと甲子園,兵庫県西宮市甲子園八番町1-100　ららぽーと甲子園2F,DBRD
GiGOららテラスTOKYO-BAY,千葉県船橋市若松2丁目2番1番　ららテラスTOKYO-BAY1階,RD
GiGOアクアウォーク大垣,岐阜県大垣市林町6-80-21　アクアウォーク大垣2階,DBRD
GiGOアドバンスモール松阪,三重県松阪市田村町235-1,DBRD
GiGOアリオ葛西,東京都江戸川区東葛西９丁目３番地３号　アリオ葛西 3階,DBRD
GiGOアルプラザ金沢,石川県金沢市諸江町30-1　アル・プラザ金沢2階,DBRD
GiGOイオンタウン刈谷,愛知県刈谷市東境町京和１,DBRDAB
GiGOイオンタウン名西,愛知県名古屋市西区香呑町六丁目49番地1六丁目49番地1　イオンタウン名西ショッピングセンター2階213区画,DBRD
GiGOイオンタウン小郡,山口県山口市小郡前田町3-6,DBRDAB
GiGOイオンタウン金沢示野,石川県金沢市戸板西2丁目1番地,DBRDAB
GiGOイオンモールむさし村山,東京都武蔵村山市榎1-1-3　イオンモールむさし村山2階,DBRD
GiGOイオンモール与野,埼玉県さいたま市中央区本町西5-2-9　イオン与野ショッピングセンター3階,DBRD
GiGOイオンモール岡山,岡山県岡山市北区下石井1-2-1　イオンモール岡山6F 6024-1区画,DBRD
GiGOイオンモール木曽川,愛知県一宮市木曽川町黒田八ヶ池25-1 イオンモール木曽川3階,DBRD
GiGOイオンモール苫小牧,北海道苫小牧市柳町３丁目１－２０　イオンモール苫小牧２階,DBRDAB
GiGOイオンモール銚子,千葉県銚子市三崎町2-2660-1　イオンモール銚子2F,DBRD
GiGOイオンモール高松,香川県高松市香西本町1-1 イオンモール高松2F　227-2,DB
GiGOイオン仙台中山,宮城県仙台市泉区南中山1丁目35-57イオン仙台中山店別館３階,DBRDAB
GiGOイオン北小金,千葉県松戸市小金1イオン北小金店5F,DBRD
GiGOイオン海浜幕張,千葉県千葉市美浜区ひび野1-3　イオン海浜幕張店2階,DB
GiGOイオン淡路,兵庫県淡路市志筑新島１０－２イオン淡路,DBRD
GiGOイトーヨーカドー古淵,神奈川県相模原市南区古淵3丁目13番地33号　イトーヨーカドー古淵店3階,DBRD
GiGOエイスクエア草津,滋賀県草津市西渋川1-23-23　A-SQUARE SARA南館2F,DBRDAB
GiGOギャラリエアピタ知立,愛知県知立市長篠町大山18-1　ギャラリエアピタ1F,DB
GiGOサントムーンオアシス,静岡県静岡県駿東郡清水町伏見52-1 サントムーンオアシス3階,DBRD
GiGOショッピングセンターチェリオ鹿嶋,茨城県鹿嶋市宮中290-1ショッピングセンターチェリオ1F,DBRDAB
GiGOスエヒロボウル徳島,徳島県徳島市南末広町4-95-2　スエヒロボウル1階,DBRD
GiGOスマーク伊勢崎,群馬県伊勢崎市西小保方町368　スマーク伊勢崎3階　302区画,DBRD
GiGOスーパーアークス室蘭中央,北海道室蘭市中央町3丁目1-8　スーパーアークス室蘭中央店3階,RD
GiGOスーパーセンタートライアル上磯,北海道北斗市七重浜7丁目14番1号スーパーセンタートライアル上磯店内,DBRD
GiGOダイナシティ小田原,神奈川県小田原市中里296-1　ダイナシティ イーストモール3F,DB
GiGOデイズタウンつくば,茨城県つくば市竹園1-9-2デイリータウンB1,DBAB
GiGOドリームタウン白樺,北海道帯広市白樺16条西2丁目ドリームタウン白樺内,DBRDAB
GiGOビバモール寝屋川,大阪府寝屋川市寝屋南2-22-2 ビバモール寝屋川 モール棟2F,DBRD
GiGOフェスティバルウォーク蘇我,千葉県千葉市中央区川崎町51-1　 フェスティバルウォーク アミューズメント棟1F,DBRD
GiGOフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町6-1　フェニックスプラザ1F,AB
GiGOフジグラン高知,高知県高知市朝倉東町52-15 フジグラン高知3F,DBRD
GiGOフレスポ東大阪,大阪府東大阪市稲田新町3-9-64　フレスポ東大阪２階,DBRD
GiGOプライムツリー赤池,愛知県日進市赤池町箕ノ手1番　プライムツリー赤池3階（311区画）,DBRD
GiGOベイドリーム清水,静岡県静岡市清水区駒越北町8-1 ベイドリーム清水2F,DBRD
GiGOマーケットスクエアささしま,愛知県名古屋市中村区平池町4丁目60番地14号,AB
GiGOマーゴ関,岐阜県関市倉知516番地　マーゴシネマ館２階,DBRD
GiGOミーナ天神,福岡県福岡市中央区天神４丁目３番８号　ミーナ天神７階　７０６区画,DBRD
GiGOヨドバシ博多,福岡県福岡市博多区博多駅中央街6-12 4階,DBRD
